"Emisión: 31/10/12 12:49:01
Los mas Vendidos Cant.
Año : '2012' , Mes : 'OCT' , Cantidad. : '1000' , Local : 'SUPER EL MERCADITO,SUPER EL MERCADITO (CAPACITACI'"
"YOGURISIMO ENTERO C/CEREAL X 135 G",1818.59773,294.00006,486.16756,50
"MILKAUT LECHE ENTERA L.V X 1 L NUEVO",1763.06937,291.99998,362.43942,51
"LA VIRGINIA TE X 25 SAQ NUEVO",828.64445,290.00001,260.82445,52
"FIRULETE PAPEL HIGIENICO X UNI",378.53494,289,170.45494,53
"LADYSOFT TOALLAS NOR X 8 UNID",885.01476,280.99999,333.77481,54
"CELUSAL X 500 G",819.26339,277.00001,223.8634,55
"M&K SAL FINA 500G.",405.24843,269,208.93843,56
"GRACIELA REAL 0000 X 1 KG",1476.41693,265.99999,460.57689,57
"ADES MANZANA X 200 CC",784.49218,261,123.31219,58
"YOGUR MANFREY YOFREY ENT.FRUTI",490.85,261,128.11,58
"ILOLAY YOGUR ENT.VAINILLA. BEBIBLE X 1 L",1713.22372,261,410.02372,58
"TURRON OFERTAX4",872.24165,248,277.04165,61
"ILOLAY LECHE ENTERA LV X 1L",1565.79318,246,426.81319,62
"3 ARROYOS POLLO X 1 KG",4761.78207,243.47997,1678.14613,63
"CALSA LEVADURA  X 50 G",684.57243,243.00001,210.72242,64
"CLIGHT NARANJA X 10 G",472.46017,242.99985,138.95036,65
"M&K ROLLO COCINA X 3 H. DOBLE",1910.28368,234,665.40369,66
"ZORRO JABON P. LAV.MANO 400G.",1014.48,232,281.36,67
"ZORRO BIO CRIST REG X 400 G",1004.92863,229,308.76866,68
"JUGO P.INCA NARANJA",280.57636,223.99999,84.05636,69
"X5 MMM DOBLE ACC X 360CC",2734.55857,223.00001,884.84857,70
"GRACIELA REAL 000 X 1 KG",874.05613,221,272.16613,71
"LA BLANCA PICADILLO X 90 G",610.8,220,199.49,72
"CAROGRAN ARROZ 00000 1KG.",988.18424,216,372.58424,73
"DANONINO MAXI  X 2 FRUTILLA",1333.56716,214,330.39716,74
"TANG JUGO NARANJA X 35 G",392.7947,213,126.7347,75
"MARCELE FIDEO TALLARIN X 500 G",823.16,211.00001,295.66,76
"FARGO RAVIOLES POLLO X 500 G",2199.72295,209,596.69297,77
"TRAVIATAS X 3 X 303 G",1439.53962,208.99999,396.62971,78
"JUGO P.INCA MULTIFRUTAS 30G",257.40331,207,75.3733,79
"M&K TIRABUZON X 500 G",586.99235,207,164.71233,79
"FIDEO M&K CODOS X 500 G",581.65378,206,239.69376,81
"CAROGRAN ARROZ 00000 X 500G",463.76007,200.00003,173.76002,82
"CAÐUELAS GIRASOL X 900 ML",2146.96892,199,1259.50891,83
"ULTRA JABON BLANCO X 200G",499.37,198,236.03,84
"YOGURISIMO FRUTILLA 1.1KG",1864.92393,198,403.68393,84
"MERENGADAS X 93 G",894.25771,196.00002,251.37766,86
"VELAS FAROLITO X 4 UNID",386.47,189,184.06,87
"YOGUR MANFREY BEB.VAINILLA 1L",1374.4915,188.00001,356.33144,88
"ACE MATIC NAT C/SUAV X 400",581.19,188,60.43,89
"AYUDIN LAVANDINA MAXIMA PUREZA X 1L",805.90662,184.00002,237.34657,90
"INCA JUGO P. LIGHT NARANJA 10G",224.47322,182.99995,66.49322,91
"LA LOMA CREMOSO KG",5723.025,174.65502,2099.56945,92
"DANONINO MAXI  X 2 VAINILLA",1072.34413,172,266.36413,93
"INDEPENDENCIA AZUCAR X 1 KG",888.06407,171,238.26407,94
"YOGURISIMO VAINILLA 1.1 KG",1567.35288,169,320.13288,95
"HIGIENOL EXPORT X 6",1622.40832,167,657.14832,96
"ROSAURA PREPIZZA X 3 UNID",1186.17213,165.00006,273.72184,97
"KENIA JABON VARIEDAD X 3 UNIDADES",846.40878,165.00003,255.06867,98
"ILOLAY YOGUR ENT.DURAZ. BEBIBLE X 1 L",1070.47799,165,255.37799,99
"MUCHO GUSTO ARROZ  X 1 KG",836.54934,164,328.14933,100
"RIVOLI FIDEO ESPECIAL X 0.5 KG",635.61393,164,179.69394,100
"TANG JUGO MANZANA X 35 G",300.98631,163,94.22631,102
"COCA COLA X 3000 CC",2706.03742,162,674.48742,103
"FANTA X 2250 CC MANZANA",1533.17709,162,430.77709,103
"ACE NAT  MATIC ALOE VERA MANZ X 400G",603.58161,161,138.29161,105
"CAMELLO VAJ X 750ML",1032.96305,161,378.25304,105
"TANG JUGO NARANJA DULCE  X 25 G",285.20285,159,86.74285,107
"CLIGHT MANZANA DELICIOSA X 7.5 G",316.54,158,94,108
"SER YOGUR CALCIO DURAZNO PACK  2 X 125 G",1191.5606,156.00001,276.22055,109
"BOOG MIX FRUTAL 30G",233.62663,155,72.42663,110
"DIVERSION  X 400 G",1251.69919,155,335.64919,110
"COSQUIN JABON VERDE",188.02,155,104.32,110
"JUGO P.TANG NAR/BAN/FRUT 35G.",275.31011,152,89.87011,113
"SONRISAS GALLETAS X 118 G",682.61559,151,187.33559,114
"VENEZIANA PAN DULCE X 400 G",1296.55321,151,526.45322,114
"ACE NATURALS ALOE VERA MANZ X 400G",553.21076,150,119.71076,116
"KINDER HUEVO X 20 G",1137.62511,150,411.62511,116
"GILLETTE PRESTOBARBA ULTRAGRID X UNID",932.24143,150,374.24143,116
"COCINERO GIRASOL X 900 ML",1764.32727,149,1038.69729,119
"CLIGHT ANANA X 9 G",284.53903,148,78.65903,120
"PAMPERS BABYSAN X 8 (XG) DOBLE CAPA",1860.05779,148,509.37779,120
"YOGUR YOGURISIMO FRUTI.1.3KG.",1449.34842,148,371.30842,120
"COCA COLA X 500 CC",734.66515,147,122.67515,123
"PRESTO PRONTA X 500 G",788.95441,146,187.43441,124
"RAID TABLETAS X 24 UNID",2491.65446,144.00001,872.31445,125
"JUGO P.TANG NJA.-BAN.25G.",269.02528,144,87.58528,126
"M&K DEDALITOS X 500 G",407.59445,144,136.87443,126
"CLIGHT NARANJA DULCE X 8 G",291.89007,143.00003,90.46002,128
"KNORR CALDO DE VER X 12 EDI COLECC",1082.19793,143,268.08793,129
"NIDO LECHE + NUTRICION X 800 G",5251.12141,143,1360.65141,129
"GRANIX SAÑVADO 810 G",1710.9794,141,440.4594,131
"PEPSI X 2000 CM3",1845.17122,140,445.17121,132
"JUGO P.INCA ANANA",166.27,137,47.08,133
"TANG JUGO PERA X 35 G",245.47447,136,75.47447,134
"JUGO P.INCA PERA 30G",164.18331,133,47.5733,135
"PAMPERS BABYSAN G   X 9",1676.20991,133,465.20991,135
"SER YOGUR CALCIO FRUTILLA PACK  2 X 125",1001.21993,132.99999,226.77998,137
"BOOG MANZ 30 G",198.70663,131,62.46663,138
"MILKAUT QUESO RALLADO 40G",664.16472,131,186.01472,138
"SERRANAS SANDWICH X 336 G 3 UNID",768.2117,130,188.4717,140
"JABON P.ALA M.ACC.REGULAR 400G",832.44987,127.99999,233.40987,141
"CLIGHT MANGO X 10 G",248.89472,127.00016,71.82448,142
"BOOG LIMONADA 30 G",190.89,126,59.85,143
"NATURA GIRASOL X 500 CM3",759.38716,126,415.40716,143
"LA BLANCA HAMBURGUESA X 2",601.92051,126,252.90051,143
"JUGO P.TANG DURAZNO 25G.",225,125,69.22,146
"ROSAURA PREPIZZA X 2 UNID",761.48872,124.99999,230.23871,147
"BAGLEY SALVADO X 214 G",562.61439,123.00002,151.79439,148
"KNORR CALDO DE GALL X 12 EDI COLECC",860.09351,121.00001,196.48351,149
"ADES DURAZNO X 1 L",936.26551,121,264.71551,150
"TOPLINE SANDIA X 4 UNI",243.12,121,130.59,150
"ALA MULTIACCION C/VIVE CLA 400",777.48,120,215.88,152
"KNORR CALDO DE GALLINA EDICION X 6",796.89423,120,236.59423,152
"LA ESPAÐOLA BURGOL FINO X 500 G",480.78158,119,126.16158,154
"MINORA",241.77273,119,134.67273,154
"CERROS TUCUMANOS YOGUR  VAINILLA X 1 L",561.28063,118.00003,148.28052,156
"CERROS TUCUMANOS YOGUR  FRUTILLAX 1 L",554.01,117,144.51,157
"HELLMANNS MAYONESA X 250 CC",574.32761,114.99997,212.80772,158
"RAID ESPIRAL CUNTRY FRESH X 12",763.83953,114,263.37953,159
"BAGLEY SALVADO X 642 G",1256.96511,112,333.80511,160
"SWIFT GRASA X 1 KG",1593.84109,111.99998,38.16116,161
"SAVORA MOSTAZA X 60 G",243.94009,110,84.44009,162
"ODOL NUEVO X 70G",423.46684,109.99998,151.7669,163
"JUGO P.INCA NARJ/DUR.X30G",136.74331,109,41.91334,164
"SUSSEX CLASICO X 3 ROLLO DE COCINA NUEVO",976.95537,109,398.16537,164
"FIAMBRE SURTIDO ESPECIAL X K",3169.35861,108.90502,1320.23833,166
"FARGO SALVADO DOBLE DIET X 440 G",1821.09162,108.00001,488.37162,167
"SALSATI PURE DE TOMATE AZ 520G",386.08067,108.00001,117.16066,167
"DANONINO MAXI BEBIBLE X 200 G",676.34996,108,171.82996,169
"CAMPANITA CLASSIC 6 X 30",983.4941,107,296.5541,170
"FIDEO CHICAGO X 500 G",303.66558,107,87.52558,170
"GALL.TIA MARUCA ARROZ 150G.",1074.337,107,271.837,170
"BAGGIO PRONTO DURAZNO JUNIOR X 125 ML",162.57484,106,49.49484,173
"TANG JUGO NARANJA MANGO  X 25 G",192.24,106,58.38,173
"LA CAMPAGNOLA PURE DE TOMATES X 520G",376.31996,104.99999,92.81999,175
"BROCHE DE ORO YERBA X 500 G",1021.66001,103,298.31,176
"CLIGHT DUO MANGO-PERA X 6.5 G",200.94317,103,58.95317,176
"RHODESIA X 22 G",252.50145,101,88.88145,178
"SER YOGUR C/CEREALES X 165 G NUEVO",735.51494,101,192.01494,178
"ICB DE PATY SALCHICHAS X 6",451.10764,100.00001,132.10764,180
"COMBO DOVE 15% DTO",1949.92694,100,1949.92694,181
"PEPSI X 3000 CM3",1792.5226,100,429.1026,181
"YOGURISIMO CREMIX OFERTA X 4",856.96,100,243.56,181
"INCA JUGO P. LIGHT ANANA 10G",121.95379,99.99999,36.45379,184
"CEPITA MULT FRUTA X 1 L",495.15,99,138.44,185
"ADES ANANA X 1 L",755.48,98.00001,211.58,186
"YOGUR YOGURISIMO VAIN.1.3KG.",952.25288,98.00001,224.83288,186
"BIO PACK X 4 FRUTILLA",1258.71,97,257.82,188
"SANCOR BEBE 1 X 250 CM3",661.71822,96,140.43822,189
"YOGURISIMO FIRME ENT X 200 G FORT",495.50913,96,141.81913,189
"FAVORITA FIDEO SPAGHETTI X 500 G",446.97563,95,135.37563,191
"ILOLAY YOGUR C/CEREALES X 150 G",400.05166,95,114.10166,191
"PLUSBELLE SH BAMBU X 1 LTS",1065.60076,94.00001,337.10067,193
"LA ESPAÐOLA POLENTA X 500 G",129.30999,94,37.18998,194
"TOPLINE MENTA X 4 UNID",187.93489,94,100.51489,194
"VIÐAS DE BALBO BORGOÐA X 1250 ML",1717.11846,94,507.73846,194
"SANCOR QUESO RALLADO REGGIANITO X 40 G",498.81,94,127.23,194
"TITA X 18 G",188.56,94,67.3,194
"ROSAURA MEDIALUNAS DE MANTECAS",152.1,93,151.17,199
"SER JUGO NJA.-DZNO.7.7G.",148.69734,93,45.46734,199
"VIDACOL MULTF X 4 X 80 G",1356.64959,92.99996,308.5799,201
"TOPLINE FRUTA X 4 UNID",184.56,92,99,202
"CALDO MAGGI GALL.12 UN.",582.71081,90.00001,185.2908,203
"BAGGIO PRONTO MULTIFR JUNIOR X 125 ML NU",135.03535,90,39.03535,204
"LADYSOFT PROT S/ALAS X 20",385.93724,90,147.43724,204
"DOVE JABON CREMOSO X 90 G",643.31538,90,222.11538,204
"GRANIX FRUTIGRAN DULCE C/SALVADO X 500 G",945.37,89,265.41,207
"LAYS  X 38 G",535.92209,89,90.92209,207
"JUGO P.INCA MANZANA 30G",111.32604,88.99999,33.34603,209
"FARGO RAVIOLES 4 QUESOS X 500 G",926.33,88,251.37,210
"RAID MATA MOSCAS EN AEROSOL X 360 CC",1327.48174,88,465.96174,210
"M&K ARVEJAS 350G.",242.07438,88,93.35438,210
"SUSSEX CLASICO X 3 ROLLO DE COCINA",803.88177,87,295.80177,213
"LAYS PAPAS 23 G",344,86,60.2,214
"RIVOLI SPAGHETTI 500G.",311.38,86,91.22,214
"VUAL EXCEL 4X30",603.24467,86,206.86467,214
"YOGURISIMO CREMIX VAINILLA OFERTA X 4",755.03,86,207.06,214
"BLANCAFLOR LEUDANTE X 1 K",427.63283,85.00002,97.38275,218
"CBSE YERBA X 500 G",1207.9,85.00001,341.29999,219
"CHEMBRA VINO 1250 PATERO",1287.92373,85,327.42373,220
"JUGO P.INCA NARA BAN.30",103.59,85,28.8,220
"LECHE LA EDITA ENTERA L.V.1L",517.77372,85,152.27372,220
"COPIM ACEITUNAS X 220 G",242.11,85,87.55999,220
"FIDEO RIVOLI ENTREFINO X 500G",310.65,85,93.05,220
"SAVORA MOSTAZA X 250 G",408.349,84.99987,133.04941,225
"ACTIMEL MULTIFRUTA 6 X 100 G",1436.94823,84,344.36823,226
"GOLFT PAPEL HIGIENICO BLANCO 4X30",545.47426,84,210.31426,226
"MORA PURE DE TOMATES X 520 G",347.61479,84,116.61479,226
"JUGO P.INCA LIGHT MULTIF.X10G",115.91888,84,60.47888,226
"PAMPERS BABYSAN XXG X 8",1072.57168,84,353.23168,226
"SER LIMONADA POLVO X 12.8G",134.83093,84,41.59093,226
"LA ESPAÐOLA POLENTA X 1KG",224.63392,83,61.95392,232
"MAURI VAINILLA X 80 G",191.25245,83,63.43246,232
"SPRITE X 500 CC",415.57,83,70.07,232
"MEDIA TARDE X 330 G  3 UNID",418.85,83,117.36,232
"QUESO FINLANDIA LIGHT X 200 G",811.36015,82.00002,192.64002,236
"SWIFT PICADILLO X 90",286.86991,81.99998,100.50997,237
"M&K COCTEL DE FRUTAS X 820 G",918.24009,81.00001,335.85004,238
"GADDARY QUESO RALLADO X 40",163.42365,81,74.32365,239
"JUGO P.ARCOR LIMONADA 25G.",123.07092,81,42.60092,239
"RI-K MAYONESA X 250G",292.88064,81,84.71064,239
"SANCOR QUESO POR SALUT LIGHT X 200 G",821.94511,81,199.56511,239
"MAURI SIN SAL X 400 G",752.96,81,231.86,239
"BAGGIO MULTIFRUTA X 200 CC NUEVO",196.89,80,61.67,244
"PAPEL H.HIGIENOL MAX 100M 4 UN",1419.30958,80,442.66958,244
"FANTA X 500 CC NARANJA",400.61327,80,67.57327,244
"ROSAURA PAN NEGRO",963.08486,79.87,962.28615,247
"LA SERENISIMA QUESO CREMON X K",3255.97349,79.25501,891.20459,248
"INALPA ARVEJAS X 350 G",222.96732,79,85.50734,249
"SERENITO FLAN PACK X 2   105 G",407.1879,79,105.6779,249
"CREMA DE LECHE MANFREY 200ML.",467.81964,78,124.25964,251
"SONRISAS PICARAS  X 84 G",368.49193,78,123.84193,251
"MANFREY DULCE DE LECHE X 400G",554.37393,78,142.87393,251
"BIO PACK X 4 MULTIF",1009.08,77,215.07,254
"JUGO P.ARCOR MANZANA 25G.",118.50276,77,41.19276,254
"LA VIRGINIA TE FILTRADO R.50U",453.30166,77,137.71166,254
"CINDOR  FORTIFICADA X 1 L",766.39802,76,23.99802,257
"DANETTE DULCE DE LECHE 2 X 100 G",591.54,76,161,257
"CORONA DE TRIGO LEUDANTE X 1 KG",435.67798,76,117.23799,257
"ILOLAY QUESO RALLADO  X 40 G",334.46352,75.00001,92.96352,260
"BONANZA HARINA 000 X 1 KG",228.87,75,56.37,261
"SOPA KNORR CASERA C/FIDEOS 88.",325.24,75,100.99,261
"SER JUGO NARANJA DULCE X 10.4 G",122.07259,75,38.82259,261
"ACTIMEL FRUTILLA 6 X 100 G",1262.95,74,303.84,264
"X5 LAVANDINA X 1000 CC",278.67282,74,84.05282,264
"OBLITA FRUTILLA X 96 G",241.47,74,71.43,264
"LA EDITA DESC LECHE LV X 1 L",448.54,74,130.34,264
"HIGIENOL EXPORT 4 X 40",597.72743,74,220.32743,264
"DULCE DE L.GRANJA DE ORO 400G",451.66,74,108.7,264
"ALICANTE PIMENTON X 50 G",299.6527,73,112.4127,270
"VIENISSIMA X 6 X 225 G",776.96964,73,237.49964,270
"JABON T.REXONA SEN.FRESH 125",317.66438,73,101.58438,270
"COLGATE CEPILLO DENTAL PREMIER ULTRA",362.81872,72.00001,150.19871,273
"LA SERENISIMA QUESO RALLADO X 40 G",400.04001,72.00001,117.07998,273
"HOJALMAR RONDA X 150 G",272.44,72,82.36,275
"INCA ANANA/BANANA 30G",86.74,72,24.1,275
"JUGO P.TANG POM.ROS.20G.",129.33103,72,41.49103,275
"SER YOGUR CALCIO VAINILLA PACK  2 X 125",542.89,72,126.08,275
"BABYSEC CLASICO C/BARR G X 9",514.07,71,133.68,279
"HIERBITAL HIERBAS SERRANAS X 500G",952.64601,71,481.20601,279
"TANG NAR/FRUT/KIWI 25G",127.40745,71,37.94745,279
"HELLMANNS MAYONESA X 125 G",175.7,70.00002,50.39998,282
"PROCENEX LAVANDA LIMPIADOR 3 EN 1 X 900",319.15277,70.00001,96.55277,283
"ALA JABON EN PAN X 400G",568.15213,70,203.35213,284
"MAGGI CALDO VERDURA 12UN.",458.62043,69.99998,150.42053,285
"FARGO TAPAS PARA EMPANADA HORNO X 453 G",584.68498,69,169.99498,286
"KNORR SOPA CREMA DE POLLO X 75 G",319.72339,69,101.68338,286
"KOLYNOS SUPER BLANCO X 70G",343.62001,69,138.21001,286
"NATURA MAY X 125 CM3",202.67458,69,59.99459,286
"CACHAMATE YERBA X 500 G",835.2174,68,263.8974,290
"FAVORITA FIDEO TALLARINES X 500 G",311.62,68,88.58,290
"VIDACOL FRUTILLA X 4 X 80 G",983.76,68,240.23,290
"RAID TABLETAS X 12",606.45,68,206.61,290
"COLGATE DENTIFRICO MAX PROTEC. X 180 G",765.83023,68,263.43023,290
"CD $ 2.00",136,68,78.2,290
"BON O BON BLANCO X 17 G",100.5,67,42.88,296
"JABON T.MIX SUAVE 3X90G",534.66711,67,176.45711,296
"HELLMANNS MAYONESA DOY PACK X 500CC",612.97891,67,233.74894,296
"HIGIENOL SIN FIN 360 MT",1134.86,67,478.93,296
"PATYVIENA SCOOBY-DOO X 6",598.77,67,176,296
"POLVORITA FRUTILLA X 80 G",114.511,67,34.891,296
"ZORRO BIO CRISTALES NUEV 800 G",645.88,67,197.65,296
"SERENITO POSTRE ROCLET X 120 G",507.12307,67,136.53307,296
"SUAVIZANTE BORITA X 900 CC",476.84723,66.99999,187.92724,304
"BAGGIO PRONTO DURAZNO X 1L",458.41545,66.00001,137.85545,305
"CLIGHT PERA X 10 G",126.90264,66,35.04264,306
"ILOLAY YOGUR ENTERO VAIN.FIRME X 200 G",181.22,66,52.52,306
"POSTRE MANFREY VAINILLA",175.35,66,48.21,306
"SER CEREALES MANZANA X 23 G",258.39344,66,91.41344,306
"JABON P.ALA MULTIACC.SOL 400G",431.53,66,122.65,306
"INCA JUGO P. MANDARINA",82.19509,66,24.74508,306
"DEA LANA DE ACERO X 45G",151.79955,66,53.45955,306
"ACTIMEL FRUTILLA X 100 G",168.96,65.99999,40.91999,313
"MANFREY CREMOSO K",1892.95993,65.60502,582.8281,314
"GATORADE MANZANA X 200 CC",245.7,65,63.7,315
"3 ARROYOS PIERNA/MUSLO POLLO X K",1437.50381,64.735,573.46124,316
"FARGO TAPAS P/PASCUALINA DE HOJ X 2",632.04,64,185.96,317
"FARGO ÐOQUIS 500 G NUEVO",534.07001,64,186.67001,317
"SABROSA LECHE POLVO 800 G",1346.39,64,322.39,317
"JUGO P.BC MANZANA 8.5G",96.19638,64,30.91638,317
"EL CRAIKENSE QUESO CREMOSO X K",2261.61089,63.23499,845.1469,321
"HOGAREÐA SALVADO X 600 G",747.81028,63.00002,186.48007,322
"JABON PLUSBELLE CREMOSO 140G",306.7619,63.00002,100.75188,322
"ADES NARANJA X 1 L",486.531,63,131.951,324
"ODORONO REXONA X 60 G",701.99203,63,297.38203,324
"RAID ESPIRAL X 12 UNID NUEVO",354.26882,63,119.27882,324
"GELATINA SHIMY NESTLE FRUTILLA X 110 G",230.76221,63,52.40221,324
"DANETTE CREMA AMERICANA X 2",490.18654,63,131.71654,324
"YOGS SANCOR C/CEREALES X 170 G",430.02423,62.00005,92.31399,329
"FARGO RAVIOLES RICOTA Y ESP. X 500 G",663.9,62,188.36,330
"PLUSBELLE SH CERAMIDA ACT X 1 LTS",692.90328,62,187.00328,330
"MANTECA MANFREY 100G.",312.18,62,93.32,330
"KNORR SOPA VEG Y LETRAS + FID X 88.5G",270.06614,62,84.68614,330
"CEPITA MANZANA X 1 L",309.47312,61,88.40312,334
"SER FLAN TENTACION 2 X 110 G",520.78206,61,156.00206,334
"YOGURISIMO FIRME 4X125G",575.06,61,143,334
"YOGUR BEBIBLE MANFREY BANANA",433.32922,61,111.09922,334
"SEDAL SH CREMA NUEVO X 200",620.34523,61,237.77523,334
"FIBRA ESPONJA OK X UNID",46.80706,61,19.96706,334
"LA LOMA BARRA KG",2980.87332,60.56999,1308.83611,340
"COLGATE TRIPLE ACCION X 180G",748.62495,60,268.58495,341
"FANACOA SACHET 118G.",122.2914,60,39.4914,341
"YOGURISIMO FIRME ENT VAINILLA X 200 FORT",299.54,60,78.22,341
"TOPLINE STRONG X 4 UNID",120.64,60,64.84,341
"SI DIET X 200 ML",346.67921,60,123.8392,341
"ROSAURA PAN LACTAL SALVADO 375G",334.62001,60,53.82002,341
"JUGO P.ARCOR PERA 25G.",92.93944,60,32.57944,341
"ILOLAY QUESO BARRA X 1 K",3073.37236,59.85,1021.47295,348
"AZUCARADAS COCO X 80 G",117.41,59,33.63,349
"JUGO P.ARCOR NARANJA 25G",94.43897,59,28.94897,349
"YOGUR.ACTIMEL.VAINILLA.6X100G",997.53738,59,235.16738,349
"SER JUGO MANZANA TENTACION X 9.5 G",94.25,59,28.76,349
"SER JUGO PERA DULCE X 11.5 G",95.26351,59,29.77351,349
"SANCOR FLAN X 110 G",203.18,59,46.88,349
"QUESO RALL.MANFREY",249.57,59,69.03001,349
"PATY HAMBURGUESAS CLASICAS X 334 G",1254.70594,59,372.06594,349
"DOVE JABON CREMOSO X 135 G",497.81587,58.00002,167.79578,357
"FARGO GALLETA AGUA X 175 G",260.45004,58.00001,68.95001,358
"BOOG DURAZNO 30 G",89.74495,58,29.42495,359
"OBLITA VAINILLA X 96 G",190.82,58,58.58,359
"EL BIERZO MORTADELA BOCHA X  KG",2550.17267,57.16001,1080.08674,361
"BAGGIO PRONTO MULTIFRUTA NUEVO X 1 L",395.24015,57.00002,119.16004,362
"BOOG NARANJA BANANA 30 G",86.4,57,27.12,363
"X5 TABLETAS X 20 UNID",759.41394,57,267.78394,363
"CITRIC NARANJA X 250 ML",174.84,57,46.37,363
"GODET GELATINA CEREZA X 100 G",250.93321,57,74.80321,363
"ALA JABON PAN X 200 G",255.89477,56,86.70478,367
"JUGO P.TANG LIMONADA 25G.",101.24,56,30.68,367
"LACER FOCO 75/100 W",334.45599,56,172.05599,367
"YOGS CREMOSO DURAZNO  2 X 125 G",311.04,56,65.81,367
"MAURI FAUNA X 150 G",197.88999,56,78.36998,367
"GODET FLAN VAINILLA X 65 G",180.59633,56,56.27633,367
"AZUCARADAS MARMOLADAS X 80 G",111.15311,56,31.63311,367
"FUYI INSECT. MMM AERO 360ML.",669.77634,56,269.37634,367
"CITRIC NARANJA X 1L",661.32,55.00001,191.66,375
"GIGANTE JABON EN PAN X 200 G",196.69146,55,72.27146,376
"JUGO P.ARCOR MULTIFRUTA",152.71177,55,50.15177,376
"VILLAVICENCIO AGUA MINERAL X 2000 CM3",341.32,55,98.22,376
"PAPEL H.ARO BCO.30MT 6R",549.38289,54.99999,197.38289,379
"SER YOGUR FORTIFICADO FRUTILLA X 1L",497.48674,54.00002,102.86661,380
"LA SERENISIMA MANTECA X 100 G",310.31,54,73.97,381
