"Emisión: 31/10/12 12:45:13
Los mas Vendidos Cant.
Año : '2012' , Mes : 'SEP' , Cantidad. : '1000' , Local : 'SUPER EL MERCADITO,SUPER EL MERCADITO (CAPACITACI'"
"GRACIELA REAL 0000 X 1 KG",1995.72316,339.00002,600.61317,50
"MUCHO GUSTO ARROZ  X 1 KG",1738.97307,336.00001,697.3731,51
"ACE NATURALS ALOE VERA MANZ X 400G",1234.81842,334.99999,266.66841,52
"YOGUR MANFREY YOFREY ENT.FRUTI",578.89729,320.00001,153.29729,53
"ROLLO DE COCINA M&K X 3",2240.57362,319,791.83361,54
"LADYSOFT TOALLAS NOR X 8 UNID",984.86546,318.00004,419.98548,55
"ACE NAT  MATIC ALOE VERA MANZ X 400G",1139.56599,315,229.53599,56
"POSTRE MANFREY VAINILLA",787.72957,313,200.94958,57
"FIDEO M&K CODOS X 500 G",896.13827,312,362.35828,58
"ILOLAY YOGUR ENT.FRUTILLA. BEBIBLE X 1 L",1978.55671,310,465.57671,59
"LA VIRGINIA TE X 25 SAQ NUEVO",882.04561,309,282.58561,60
"ZORRO JABON P. LAV.MANO 400G.",1264.6738,298.00005,415.86377,61
"KNORR CALDO DE GALL X 12 EDI COLECC",2070.57586,293.00003,713.28585,62
"ILOLAY LECHE ENTERA LV X 1L",1854.07361,290,511.37361,63
"ROSAURA TORTILLAS GRANDES",261.6169,289,65.0969,64
"ILOLAY YOGUR BATIDO FRUTILLA X 125 G",540.03286,279.99994,169.66291,65
"GRACIELA REAL 000 X 1 KG",1261.75338,279,399.44337,66
"PATY FINITAS X 2",1660.45679,278,495.10679,67
"LA LOMA CREMOSO KG",9092.90189,273.41499,3297.17272,68
"CALSA LEVADURA  X 50 G",762.01502,272,231.61502,69
"M&K TIRABUZON X 500 G",779.35582,271.00002,221.82582,70
"OPERA OBLEAS X 55 G",810.38401,269.00001,203.624,71
"COMBO ACTIMEL 12.99",3948.46126,267.00006,3948.46126,72
"MILKAUT LECHE ENTERA L.V X 1 L NUEVO",1596.75227,265,314.15226,73
"FLAN SIN HUEVO MANFREY DE VAIN",658.81711,263.00001,175.89711,74
"COCA COLA X 3000 CC",4121.48847,261.00001,917.91847,75
"YOGUR MANFREY YOFREY ENT.VAINI",463.80076,258,120.66078,76
"PRESTO PRONTA X 500 G",1326.93014,254.00001,314.05007,77
"BOOG NARANJA 30 G",377.03613,252.00002,114.95611,78
"LA TRANQUERA YERBA MATE X 50 SAQ",2562.54184,251.00001,908.45184,79
"JABON P.ALA M.ACC.REGULAR 400G",1550.94472,250.00002,389.98472,80
"TANG JUGO NARANJA X 35 G",457.33529,249.99999,144.42529,81
"M&K PURE TOMATE 520 GR.",831.74869,248,288.62868,82
"ILOLAY YOGUR BATIDO VAINILLA X 125 G",473.64517,247.99998,148.29517,83
"YOGUR MANFREY BEB.VAINILLA 1L",1536.14269,243.00004,334.42245,84
"TRAVIATAS X 3 X 303 G",1565.76862,239.99999,435.44862,85
"LA TRANQUERA YERBA MATE X 25 SAQ",1221.84028,238,410.26027,86
"YOGURISIMO FORTIF X 1L FRUTILLA",2083.59875,236.99999,462.98875,87
"FIDEO CHICAGO X 500 G",674.31962,234.00002,201.6396,88
"GOLF PH X UNID",474.13013,233,150.26013,89
"GRANIX SKRACHITOS 240 GRS.",1174.8097,231.99999,362.80969,90
"ILOLAY YOGUR ENT.VAINILLA. BEBIBLE X 1 L",1440.78394,225,342.06393,91
"TABLETA X 1 UND",170.94,224,82.38,92
"BOOG NARANJA MAND 30 G",336.52732,223.00004,104.60733,93
"DANONINO MAXI  X 2 VAINILLA",1307.84353,222.99999,326.64354,94
"PAMPERS BABYSAN X 8 (XG) DOBLE CAPA",2706.5832,221.00001,766.20318,95
"HIGIENOL EXPORT X 6",2117.46406,217.00002,863.20393,96
"DANONINO MAXI  X 2 FRUTILLA",1259.86349,215.00004,313.86338,97
"ROSAURA PREPIZZA X 3 UNID",1545.10453,214.00004,361.6844,98
"KNORR CALDO DE VER X 12 EDI COLECC",1509.12155,213.00001,493.65155,99
"COMBO YOGURISIMO 3X2",3749.87574,213,3749.87574,100
"ADES MANZANA X 200 CC",636.23415,212.00001,187.51414,101
"ULTRA JABON BLANCO X 200G",527.99815,209,250.02815,102
"MARCELE FIDEO TALLARIN X 500 G",814.91961,208.99999,292.4196,103
"BOOG MIX FRUTAL 30G",317.67808,207,102.39809,104
"YOGURISIMO FORTIF X 1L VAINILLA",1789.3547,201.99999,417.2247,105
"NIDO LECHE + NUTRICION X 800 G",7347.59078,201,1757.82078,106
"ALA MULTIACCION C/VIVE CLA 400",1225.25426,198.99998,301.05428,107
"RIVOLI FIDEO ESPECIAL X 0.5 KG",744.87282,191,213.89282,108
"JUGO P.INCA NARA BAN.30",231.84318,189.99999,60.84317,109
"M&K DEDALITOS X 500 G",527.9052,184.00001,181.98519,110
"BOOG ANANA 30 G",278.29998,182,89.01998,111
"LA ESPAÐOLA POLENTA X 1KG",479.56743,179.00001,128.72743,112
"CLIGHT NARANJA X 10 G",325.98699,179,95.07699,113
"COMBO YOGUR SER 2ªUNIDAD 50%",2157.17241,178.00003,2157.17241,114
"RHODESIA X 22 G",444.9386,177.99999,156.57859,115
"BON O BON BLANCO X 17 G",269.01421,177,116.79421,116
"BOOG DURAZNO 30 G",271.05698,177,86.97698,116
"PAMPERS BABYSAN XXG X 8",2138.0307,176.00001,592.75062,118
"COSQUIN JABON VERDE",213.83365,175.00002,119.33363,119
"BOOG NARANJA BANANA 30 G",267.34593,172.99998,87.42596,120
"YOGURISIMO FRUTILLA 1.1KG",1494.08243,168.99998,354.50261,121
"MERENGADAS X 93 G",742.10706,168.00001,204.93706,122
"SWIFT PICADILLO X 90",497.29096,168,186.83096,123
"CORONA DE TRIGO LEUDANTE X 1 KG",789.87442,167.99999,302.67445,124
"LA BLANCA PICADILLO X 90 G",464.71341,167.00002,166.47344,125
"KINDER HUEVO X 20 G",1255.61066,167,455.03067,126
"M&K RIGATTI X 500 G",469.2191,166.99999,155.2591,127
"SONRISAS GALLETAS X 118 G",726.39002,165,202.47002,128
"PAMPERS BABYSAN G   X 9",1996.74615,164.00001,556.82615,129
"LA ESPAÐOLA POLENTA X 500 G",222.97816,164,62.25814,130
"TITA X 18 G",325.552,162,116.572,131
"RIVOLI SPAGHETTI 500G.",588.75866,160.00004,179.15872,132
"X5 LAVANDINA X 1000 CC",608.27803,159.99999,187.47804,133
"LADYSOFT PROT S/ALAS X 20",683.52029,157.99999,257.22028,134
"LA ESPAÐOLA BURGOL FINO X 500 G",631.24696,157.00001,163.38696,135
"ROSAURA PREPIZZA X 2 UNID",951.16032,156.00001,288.16027,136
"KENIA JABON VARIEDAD X 3 UNIDADES",850.99452,156,269.58452,137
"TANG JUGO NARANJA MANGO  X 25 G",277.01208,153,79.64208,138
"TANG JUGO PERA X 35 G",275.16457,151.99999,84.26456,139
"YOGUR MANFREY YOFREY ENT.D.LEC",272.97593,151,72.14593,140
"SAVORA MOSTAZA X 60 G",337.43507,150,118.18508,141
"JUGO P.INCA MANZANA 30G",180.9365,148.99999,46.83649,142
"CLIGHT MANZANA DELICIOSA X 7.5 G",270.92871,148,80.0087,143
"MANFREY DULCE DE LECHE X 400G",1046.97228,148,234.53227,143
"MILKAUT QUESO RALLADO 40G",745.73335,145.99998,212.83333,145
"NATURA GIRASOL X 500 CM3",878.96278,145,483.11278,146
"PEPSI X 2000 CM3",1892.24496,143.99998,452.24514,147
"SER JUGO MANZANA TENTACION X 9.5 G",231.17566,143,72.44566,148
"MORA PURE DE TOMATES X 520 G",585.09778,142,194.59778,149
"ICB DE PATY SALCHICHAS X 6",634.803,141.99998,183.123,150
"SER JUGO NARANJA DULCE X 10.4 G",225.84527,140,70.44527,151
"JUGO P.TANG NAR/BAN/FRUT 35G.",252.97404,139,78.00404,152
"FANACOA MAY X 250 CM",453.70839,136.99999,138.2284,153
"MINORA",279.34593,136.99999,156.04594,153
"VELAS FAROLITO X 4 UNID",277.58721,136.99998,135.10725,155
"PAPEL H.GOLF TEX. 4",831.90572,136,322.66573,156
"SUSSEX CLASICO X 3 ROLLO DE COCINA NUEVO",1223.25562,136,509.49561,156
"HELLMANNS MAYONESA X 250 CC",680.22427,135.00002,245.66427,158
"JABON P.ALA MULTIACC.SOL 400G",844.02571,135,216.70571,159
"JUGO P.INCA MULTIFRUTAS 30G",166.09104,134.99997,44.59103,160
"LA CAMPAGNOLA PURE DE TOMATES X 520G",476.57837,133,117.47839,161
"VASO OFERTA",663.50256,129,301.01256,162
"DIVERSION  X 400 G",1010.65911,127.00001,285.58911,163
"GILLETTE PRESTOBARBA ULTRAGRID X UNID",780.00564,126,315.48564,164
"COLGATE TRIPLE ACCION X 90G",755.37016,123.00004,281,165
"BAGGIO PRONTO DURAZNO JUNIOR X 125 ML",184.23819,121,55.45819,166
"MAROLIO PICADILLO X 90 G",315.79945,120.99999,96.78945,167
"CERROS TUCUMANOS YOGUR  VAINILLA X 1 L",574.22669,120,154.2267,168
"COCA COLA X 500 CC",594.74844,119.00002,99.70836,169
"SABROSA LECHE POLVO 800 G",2529.69406,119.00001,625.69394,170
"JUGO P.TANG DURAZNO 25G.",215.98969,118.99999,66.18969,171
"YOGURISIMO ENTERO C/CEREAL X 135 G",787.54949,117.99999,-2344.9005,172
"BOOG LIMONADA 30 G",177.80867,117,56.12867,173
"SERRANAS SANDWICH X 336 G 3 UNID",656.17965,117,175.83965,173
"ILOLAY QUESO RALLADO  X 40 G",518.43281,116.99992,141.69303,175
"AMANDA YERBA X 500 G",1184.71188,115.99998,318.19206,176
"OBLITA FRUTILLA X 96 G",348.70055,115.00001,104.98055,177
"BAGGIO PRONTO MULTIFR JUNIOR X 125 ML NU",175.29184,115,53.18184,178
"TOPLINE FRUTA X 4 UNID",230.44957,114.99998,123.49959,179
"BOOG MANZ 30 G",174.87493,114.00003,56.31493,180
"CLIGHT MANGO X 10 G",205.90873,114,50.86873,181
"DULCE DE L.GRANJA DE ORO 400G",691.83014,113,143.22015,182
"M&K YERBA X 500G",926.55438,112.00001,264.27434,183
"VIÐAS DE BALBO BORGOÐA X 1250 ML",1970.70243,112,520.30243,184
"LECHE LA EDITA ENTERA L.V.1L",682.35088,110.99999,205.05089,185
"LA SERENISIMA QUESO CREMON X K",4418.60434,110.29001,1199.23929,186
"ROSAURA MEDIALUNAS DE MANTECAS",179.64061,110,178.54061,187
"ARO JABON DE TOCADOR 3 X 90 G",715.72493,109.00002,257.92491,188
"GRANIX SAÑVADO 810 G",1247.26696,109,309.02696,189
"SANCOR BEBE 1 X 250 CM3",742.03628,109,150.16628,189
"LA SERENISIMA QUESO RALLADO X 40 G",570.6123,108.00002,165.61222,191
"X5 MMM DOBLE ACC X 360CC",1433.12765,108.00001,488.61765,192
"GALL.TIA MARUCA ARROZ 150G.",1088.7823,108,278.7823,193
"ARCOR CHOCOLATE BLANCO X 25 G",214.54088,107,69.02088,194
"TANG JUGO MANZANA X 35 G",195.55097,107,57.52097,194
"SAVORA MOSTAZA X 250 G",530.90299,107,178.48299,194
"ARCOR CHOCOLATE NEGRO X 25 G",215.08818,107,69.56818,194
"YOGUR BEBIBLE MANFREY BANANA",672.17534,106.99998,108.73535,198
"SANCOR QUESO RALLADO REGGIANITO X 40 G",559.49178,106,147.15178,199
"ADES ANANA X 1 L",781.86998,104.00001,204.66998,200
"CERROS TUCUMANOS YOGUR  FRUTILLAX 1 L",494.18921,103,133.68922,201
"COPIM ACEITUNAS X 220 G",292.38029,103,101.83029,201
"SWIFT GRASA X 500 G",1110.60527,103,493.63526,201
"LA BLANCA HAMBURGUESA X 2",503.15456,102.99998,217.84458,204
"GRANIX SEMOLADAS X 450 G",977.73194,102.00004,258.63178,205
"ADES DURAZNO X 1 L",757.23803,101,196.68803,206
"TOPLINE SANDIA X 4 UNI",203.00238,101,109.07238,206
"CLIGHT ANANA X 9 G",181.11027,101,43.75027,206
"ILOLAY YOGUR ENT.DURAZ. BEBIBLE X 1 L",655.28471,101,157.46472,206
"GOLFT PAPEL HIGIENICO BLANCO 4X30",658.20019,101,234.71019,206
"BAGLEY SURTIDO X 400",792.66912,100.00001,195.90911,211
"LAYS PAPAS 23 G",360.25095,100,64.65095,212
"CAMELLO VAJ X 750ML",643.09887,99.99999,238.09888,213
"COMBO DOVE 15% DTO",1992.11,99.99999,1992.11,213
"OBLITA VAINILLA X 96 G",308.41436,99.00001,92.44437,215
"INCA JUGO P. LIGHT NARANJA 10G",118.77143,99,52.47143,216
"POLVORITA FRUTILLA X 80 G",152.17645,99,46.30645,216
"INCA ANANA/BANANA 30G",118.92097,98,29.74097,218
"M&K ARVEJAS 350G.",269.79525,98,104.17526,218
"VILLA RICA MATE COCIDO X 25 G",399.81193,98,156.77193,218
"ODOL NUEVO X 70G",376.69987,97,137.10985,221
"SALSATI PURE DE TOMATE AZ 520G",347.15594,97,105.62595,221
"CLIGHT PERA X 10 G",173.85539,96,43.29539,223
"LAYS  X 38 G",557.111,96,94.111,223
"ILOLAY YOGUR C/CEREALES X 150 G",383.1354,96,108.7554,223
"SER JUGO NARANJA X 12.8G",152.67043,95,47.22043,226
"TOPLINE MENTA X 4 UNID",190.487,95,102.137,226
"CINDOR  FORTIFICADA X 1 L",978.21523,94.99999,70.01523,228
"COLGATE DENTIFRICO MAX PROTEC. X 180 G",1011.26033,94.99997,360.51055,229
"MEDIA TARDE X 330 G  3 UNID",439.71686,94.00011,119.1765,230
"CBSE YERBA X 500 G",1352.3384,94.00002,405.75826,231
"LA SERENISIMA MANTECA X 100 G",529.48346,94,130.92346,232
"COLGATE DENTIFRICO SABOR ORIG X 70 G",461.80449,93,173.50448,233
"ILOLAY YOGUR ENTERO FRUT.FIRME X 200 G",248.01285,93,75.24285,233
"INALPA ARVEJAS X 350 G",262.0646,92.99999,89.2446,235
"BAGLEY SALVADO X 642 G",1056.31676,92,219.73676,236
"LITORAL YERBA EN SAQUITOS SIN SOBRE X 25",368.33077,92,124.53077,236
"SUSSEX ULTRA X 70U",411.09481,92,140.61481,236
"LADYSOFT TOALL.FEM.C/G C/A 8U",259.95315,92,92.51315,236
"HIGIENOL SIN FIN 360 MT",1551.3663,91.99999,650.68629,240
"VIDACOL MULTF X 4 X 80 G",1105.89979,91,299.04979,241
"AYUDIN LAVANDINA MAXIMA PUREZA X 1L",391.70188,90,113.60188,242
"M&K COCTEL DE FRUTAS X 820 G",1012.78401,90,369.28401,242
"DANONINO MAXI BEBIBLE X 200 G",531.5912,89.99998,127.4912,244
"COLGATE DENTIFRICO HERBAL X 90 G",447.87757,89,106.11759,245
"HELLMANNS MAYONESA X 125 G",228.76927,89,69.45927,245
"JABON T.REXONA SEN.FRESH 125",386.31284,89,122.87284,245
"PEPSI X 3000 CM3",1582.56247,89,-176.99752,245
"FIAMBRE SURTIDO ESPECIAL X K",2537.72449,88.175,1047.52813,249
"JUGO P.INCA PERA 30G",106.77918,88,27.57917,250
"LITORAL YERBA MATE X 25 UNID",446.94437,88,147.74437,250
"BAGGIO PRONTO DURAZNO X 1L",592.48521,87.00001,178.96522,252
"LA VIRGINIA TE FILTRADO R.50U",502.63544,87.00001,153.76544,252
"BAGGIO MULTIFRUTA X 200 CC NUEVO",196.84414,87,61.99414,254
"CAMPANITA CLASSIC 6 X 30",748.25828,87,218.42828,254
"ILOLAY YOGUR ENTERO VAIN.FIRME X 200 G",229.39687,87,68.32687,254
"JUGO P.ARCOR NARANJA 25G",138.71694,87,48.14694,254
"CLIGHT MANDARINA X 10 G",158.19054,87,53.79054,254
"SUSSEX CLASICO X 3 ROLLO DE COCINA",814.43556,87,306.35555,254
"JUGO P.INCA POMELO ROSADO",105.36485,86,27.96484,260
"PAPEL H.NATURAL GOLF 4R",498.93248,85.00005,168.28248,261
"POSTRE MANFREY DDL 120G.",213.00999,85.00001,70.56,262
"SANCOR QUESO POR SALUT LIGHT X 200 G",836.75435,85.00001,200.9543,262
"COLGATE CEPILLO DENTAL PREMIER ULTRA",432.96597,85,195.13597,264
"ELITE PAÐUELOS DESC X 6 X 10",581.0931,85,160.34311,264
"ALA JABON EN PAN X 400G",660.98579,84.00001,287.18579,266
"QUESO FINLANDIA LIGHT X 200 G",794.85922,84,185.01921,267
"BON O BON BOMBON SUAVE  X 17 G",125.45198,83,54.07198,268
"HIGENOL PAPEL H.RINDE LISO X 4",669.93514,83,227.26514,268
"VIDACOL FRUTILLA X 4 X 80 G",974.20527,82.99998,227.98524,270
"KNORR SOPA CREMA DE CHOCLO X 69 G",373.99501,82,114.87501,271
"PALADINI PICADILLO DE CARNE X 90 G",289.87007,82,93.89007,271
"TANG JUGO ANANA X 25 G",148.80743,82,43.02743,271
"LA EDITA DESC LECHE LV X 1 L",497.03893,82,144.43893,271
"CALDO MAGGI GALL.12 UN.",471.5705,81.99998,168.2705,275
"MAROLIO PALILLERO X 100 UNDS",243.68237,81.00001,92.21237,276
"CREMA DE LECHE MANFREY 200ML.",478.34,81,138.14,277
"SER JUGO ANANA TROPICAL 7.5 G",130.45476,80.99995,40.54481,278
"ALA JABON PAN X 200 G",329.48596,80.00001,106.28595,279
"CADA DIA MAYONESA X 125 CC",155.8701,80,71.07009,280
"HELLMANNS KETCHUP X 60 G",197.19369,80,77.3237,280
"KINDER CHOCOLATE MAXI X 21 G",278.34998,80,90.34998,280
"LA ESPAÐOLA MAIZ BLANCO X 500 G",234.54012,80,65.74012,280
"POLVORITA CHOCOLATE X 80 G",124.34918,80,38.06918,280
"GRANIX FRUTIGRAN DULCE C/SALVADO X 500 G",807.30759,80,222.50759,280
"LA LOMA BARRA KG",3972.72002,79.42,1686.54497,286
"ADES NARANJA X 1 L",585.49283,79,147.04283,287
"LA PROVIDENCIA SPAGHETTI 500G.",220.29915,79,7.78915,287
"MANTECA MANFREY 100G.",403.03135,79,124.16135,287
"JUGO P.INCA LIMON 30G",96.08086,79,24.98086,287
"FARGO SALVADO DOBLE DIET X 440 G",1329.70408,79,354.84408,287
"PLUSBELLE JABON REFRESC140G",384.46904,78.99999,148.25904,292
"YOGURISIMO FIRME ENT X 200 G FORT",344.57842,78.00005,87.89825,293
"MAGGI CALDO VERDURA 12UN.",439.5604,78,154.50041,294
"SER JUGO PERA DULCE X 11.5 G",124.36205,78,37.78205,294
"PLATO VIDRIO HONDO/PLAYO",396.45504,77.00001,216.27504,296
"BORITA SUAVEIZANTE SOL X 900 CC",549.56024,77,221.79024,297
"JUGO P.ARCOR PERA 25G.",121.30658,77,42.43658,297
"MAURI VAINILLA X 80 G",177.68215,77,62.00215,297
"SERENITO FLAN PACK X 2   105 G",356.07177,76.99998,85.80181,300
"KNORR CALDO DE GALLINA EDICION X 6",467.2748,76.00002,205.83472,301
"SPRITE X 2250 CC",1022.22202,76.00001,230.30202,302
"SUAVIZANTE BORITA X 900 CC",541.28072,76.00001,218.02072,302
"FAVORITA FIDEO TALLARINES X 500 G",357.18823,76,107.90824,304
"HOGAREÐA SALVADO X 600 G",872.66352,76,224.36352,304
"NATURA MAYONESA X 250 G",447.43176,76,145.71176,304
"LACER FOCO 75/100 W",455.02955,76,234.62955,304
"FIDEO RIVOLI ENTREFINO X 500G",281.66528,76,87.10528,304
"SEDAL ACOND.CLIMA RESIST X 350 ML",1159.61065,75.99999,429.46065,309
"FANTA X 2250 CC NARANJA",1013.22026,75,231.72026,310
"JUGO P.ARCOR NARANJA DUR.25G",119.01838,75,41.76838,310
"POLVORITA VAINILLA LIA X 80 G",114.82,75,34.51,310
"PAPEL H.ARO BCO.30MT 6R",772.02525,74.99999,292.02525,313
"SERENITO POSTRE ROCLET X 120 G",530.9582,74.99998,146.20824,314
"ROSAURA PAN NEGRO",891.38962,74.115,890.64847,315
"HELLMANNS MAYONESA DOY PACK X 500CC",677.57391,74,255.01391,316
"YOGUR ENTERO MANFREY BEB DURAZ",464.09919,74,74.89919,316
"YOGS FORTIFICADO FRUTILLA X 1 L",664.83601,74,140.91601,316
"JUGO P.ARCOR MANZANA 25G.",117.69744,74,40.15744,316
"PROCENEX LAVANDA LIMPIADOR 3 EN 1 X 900",339.60288,73.99999,104.28288,320
"LA ESPAÐOLA LENTEJAS X 500 G",317.15498,73.99998,85.53503,321
"CLIGHT NARANJA DULCE X 8 G",134.96113,73,35.68113,322
"GATORADE MANZANA X 200 CC",281.05379,73,76.65379,322
"VIENISSIMA X 6 X 225 G",787.22931,73,247.75931,322
"PLUSBELLE AC CREME X 1000",813.77867,72.00001,255.77867,325
"FELA SALCHICHA X 6 UNDS",382.08,72,135.12,326
"PATYVIENA SCOOBY-DOO X 6",633.41429,72,184.39429,326
"SALSA PIZZA ARCOR 340G.",404.11962,71.99999,130.41962,328
"YOGUR MANFREY C/TROZ.ANA",180.02691,71.99999,51.86691,328
"BAGGIO PRONTO MULTIFRUTA NUEVO X 1 L",483.56454,71.00001,147.29455,330
"FANTA X 500 CC NARANJA",355.1576,71,59.79758,331
"JUGO P.INCA NARJ/DUR.X30G",86.99672,71,23.09669,331
"SANIDAD PH BLANCO X 4 X 30 M",521.89593,71,167.60593,331
"CACHAMATE YERBA X 500 G",853.24518,70,293.94519,334
"DOVE JABON CREMOSO X 90 G",500.67249,70,173.07249,334
"SER YOGUR CALCIO FRUTILLA PACK  2 X 125",464.02381,70,-577.36619,334
"ROSAURA PAN LACTAL SALVADO 375G",386.77434,70,59.17434,334
"ASPIRINETA X COMP 100 MG",20.72991,69,8.30991,338
"ODOL NUEVO X 180G",570.02269,69,232.61268,338
"YOGURISIMO CREMIX OFERTA X 4",668.91325,68.00002,172.22309,340
"LA SERENISIMA LECHE ENTERA L.V. X 1 L",537.25933,68,109.53933,341
"LEGITIMO ACEITE X 900 CC",740.56306,68,452.24306,341
"COLGATE DENTIFRICO SABOR ORIG. X 90 G",490.40307,67.99999,183.72306,343
"SER YOGUR CALCIO DURAZNO PACK  2 X 125 G",449.70194,67.99999,-719.93804,343
"KNORR SOPA VEG Y LETRAS + FID X 88.5G",288.0131,67.00001,87.68308,345
"BON O BON OBLEA BLANCO X 30 G",168.93041,67,55.03041,346
"GODET FLAN VAINILLA X 65 G",207.90833,67,63.01833,346
"ROSAURA PAN LACTAL 15 FETAS",445.22139,67,445.22139,346
"JUGO P.INCA LIGHT MULTIF.X10G",80.6894,67,36.4694,346
"BIO PACK X 4 MULTIF",847.19409,66.99999,177.86417,350
"MAGISTRAL LIMON X 300",656.16145,66.99999,228.03143,350
"ATUN M&K DESM 170g",358.76027,66.00002,122.38019,352
"SER FLAN TENTACION 2 X 110 G",522.98458,66.00001,156.02454,353
"DANETTE DULCE DE LECHE 2 X 100 G",486.43639,66,127.98638,354
"DOVE JABON CREMOSO X 135 G",570.1562,66,194.6162,354
"MAROLIO GALLETAS SURT X 360G",306.92145,66,91.76146,354
"FATY GRASA X 500 G",611.15656,66,182.24656,354
"FIDEO SPAGHETTI CHICAGO",184.92,66,51.6,354
"YOGS YOGUR ENTERO VAINILLA X 2 UNID",335.02603,66,68.38604,354
"YOGURISIMO FIRME ENT VAINILLA X 200 FORT",297.84935,66,79.04934,354
"COCA COLA X 2000 CC RETORNABLE",635.94139,65.00006,148.44099,361
"GRANIX TRIGALITAS CEREAL X 185 G",172.47058,65,54.41058,362
"GRANIX GALLETA CEREAL X 185 G",254.45369,64,128.15369,363
"KOLYNOS SUPER BLANCO X 70G",304.96519,64,119.30519,363
"LA TUCUMANITA RAV POLLO 500G.",497.77,64,145.77,363
"JUGO P.BC MANGO NARANJA 7.9G",97.16995,64,35.08995,363
"ALICANTE CALDO P/SAB VERD X 10",79.07002,63,33.71002,367
"GALL.OREO C/CHOCO/RELLE 111G",356.93141,63,91.07141,367
"ILOLAY QUESO BARRA X 1 K",3184.73449,62.45501,1030.66142,369
"LA VIRGINIA CAFE EN SAQ. X 20 UNDS",870.75399,62.00001,284.23399,370
