"Emisión: 31/10/12 12:53:45
Los mas Vendidos Cant.
Año : '2012' , Mes : 'JUN' , Cantidad. : '1000' , Local : 'SUPER EL MERCADITO,SUPER EL MERCADITO (CAPACITACI'"
"ILOLAY YOGUR BATIDO VAINILLA X 125 G",513.01007,290.00003,147.04003,51
"MARCELE FIDEO TALLARIN X 500 G",867,288,204.6,52
"BON O BON BLANCO X 17 G",394.2,287,129.03,53
"RECARGA CELULAR",7439,285,0,54
"BONANZA HARINA 000 X 1 KG",569.80059,282.00002,111.64057,55
"LA VIRGINIA TE X 25 SAQ NUEVO",792.96,281,247.81999,56
"CELUSAL X 500 G",779.14,266,174.38,57
"DOS ESTRELLAS SAL FINA X 500 G",482.3321,265.00001,177.5821,58
"FANACOA MAY X 250 CM",579.94,264,139.3,59
"COCINERO GIRASOL X 1500 CC",3942.83999,258.00001,2062.01998,60
"MANFREY DULCE DE LECHE X 400G",1559.58,252,400.41001,61
"PATY FINITAS X 2",1439.38957,250.99992,412.79987,62
"ROSAURA PREPIZZA X 3 UNID",1455.28009,250.00001,121.53002,63
"LA LOMA CREMOSO KG",8378.21474,248.14999,2822.06726,64
"YOGURISIMO FORTIF X 1L FRUTILLA",1988.58,246,474.45,65
"YOGURISIMO ENTERO C/CEREAL X 135 G",1292.77,245,263.97,66
"FANTA X 2250 CC MANZANA",2025.64,244.99999,307.37999,67
"CALSA LEVADURA  X 50 G",612.19999,240.00001,182.59998,68
"VUAL PAPEL HIGIENICO X UNID",474.12,236,155.52003,69
"COCA COLA X 3000 CC",3534.58,235,783.45,70
"YOGUR ENTERO MANFREY DE FRUTIL",1468.15,235,389.27001,70
"LADYSOFT TOALLAS NOR X 8 UNID",688.7311,232,308.9911,72
"LA ESPAÐOLA POLENTA X 500 G",315.03,229.00002,90.61,73
"ZORRO BIO CRIST REG X 400 G",909.15001,226.00003,218.72001,74
"TATIN ALFAJOR LECHE X 60G",452.9,224,109.7,75
"KINDER HUEVO X 20 G",1547.56,218,505.52,76
"DANONINO MAXI  X 2 FRUTILLA",1205.79,214,293.86,77
"SANCOR BEBE 1 X 250 CM3",1341.53,213,265.94,78
"LA CAMPAGNOLA PURE DE TOMATES X 520G",796.11005,206.00001,194.59001,79
"TATIN ALFAJOR BLANCO X 60 G",418.4,205,102.44,80
"COCINERO GIRASOL X 900 ML",2247.15,203,1319.44,81
"SAN ISIDRO AZUCAR X 1 KG",1225.16,202,247.48,82
"YOGUR MANFREY YOFREY ENT.FRUTI",337.18,198,89.68,83
"VELAS FAROLITO X 4 UNID",314.5,196,120.46,84
"ILOLAY YOGUR ENT.FRUTILLA. BEBIBLE X 1 L",1200.88,194,274.64,85
"ACE MATIC NAT C/SUAV X 400",637.66,192,158.56,86
"KNORR CALDO DE VER X 12 EDI COLECC",1325.7115,191,383.6615,87
"FIDEO CHICAGO X 500 G",533.30409,190,149.50409,88
"SIERRA PINTADA COPOS AZUC X 200G",931.62,189,219.33,89
"ULTRA JABON BLANCO X 200G",476.21,189,224.84,89
"YOGURISIMO FORTIF X 1L VAINILLA",1512.2,188,368.75001,91
"SUSSEX CLASICO X 3 ROLLO DE COCINA NUEVO",1689.17044,184.00002,732.37036,92
"PAMPERS BABYSAN G   X 9",2008.07,183,571.52001,93
"ROSAURA PAN DE MIGA X 10 FETAS",1864.8,182,-7.98,94
"ROSAURA PREPIZZA X 2 UNID",885.94058,181.00012,89.32992,95
"DANONINO MAXI  X 2 VAINILLA",1017.91,179,252.16,96
"MERENGADAS X 93 G",764.29,178.99999,189.94,97
"ACE NAT  MATIC ALOE VERA MANZ X 400G",576.06999,173.00001,142.09999,98
"JABON P.ALA M.ACC.REGULAR 400G",979.22,173,269.77,99
"LA ESPAÐOLA POLENTA X 1KG",454.35005,170.00002,121.15001,100
"ROSAURA MEDIALUNAS DE MANTECAS",241.17212,170,239.47212,101
"NATURA GIRASOL X 900 ML",1850.55,167,1082.35,102
"COLGATE TRIPLE ACCION X 90G",995.07009,165.00002,277.47003,103
"YOGUR MANFREY YOFREY ENT.VAINI",276.64,163,72.89,104
"FLAN SIN HUEVO MANFREY DE VAIN",349.76986,161.99993,93.33997,105
"BAGLEY SALVADO X 642 G",1743.01035,160.00003,365.41007,106
"ADES MANZANA X 200 CC",429.56,160,114.46,107
"CLIGHT MANZANA DELICIOSA X 7.5 G",285.86,159,93.3,108
"TATIN ALFAJOR ARCOR X 33 G",196.59,157,67.85,109
"MORA PURE DE TOMATES X 520 G",392.5251,156,78.3951,110
"YOGURISIMO CREMIX OFERTA X 4",1256.68,156,280.12,110
"LA VIRGINIA CAFE X 125 G",1118.16001,155.00001,361.79,112
"FIDEO SPAGHETTI CHICAGO",431.10922,154,120.02922,113
"HIGIENOL TEXTURADO X 6",1155.61054,153.00007,344.71016,114
"LA JOYA DURAZNOS  820 G",1245.41,153,258.03,115
"X5 LAVANDINA X 1000 CC",516.86156,150.00002,153.86151,116
"VASO OFERTA",540.59,149,121.9,117
"PLATO VIDRIO HONDO/PLAYO",515.9,146,174.26,118
"M&K DEDALITOS X 500 G",321.6,145.99999,73.39999,119
"JUGO P.INCA MULTIFRUTAS 30G",175.52004,144.00002,44.75,120
"MAROLIO PURE DE TOMATES X 520 G",496.15,144,147.67,121
"ALA MULTIACCION C/VIVE CLA 400",811.85,143,218.4,122
"ILOLAY QUESO RALLADO  X 40 G",619.26,143,168.42,122
"COPIM ACEITUNAS X 220 G",359.84,141,103.22,124
"SANCOR QUESO RALLADO REGGIANITO X 40 G",706.16,141,178.94,124
"SONRISAS GALLETAS X 118 G",584.47286,135.99999,145.65286,126
"CAMELLO VAJ X 750ML",752.17512,135,240.52514,127
"TITA X 18 G",238.86,134,90.12,128
"TOPLINE MENTA X 4 UNID",200.13,133,67.13,129
"YOGURISIMO CREMIX VAINILLA OFERTA X 4",1069.39,133,236.81,129
"ACE NATURALS ALOE VERA MANZ X 400G",436.58004,132.00002,107.90001,131
"LA SERENISIMA QUESO CREMON X K",5301.6003,131.50501,1559.78755,132
"COCA COLA X 2000 CC DESC",1622.12,131,348.2,133
"PAPEL H.NATURAL GOLF 4R",657.1,130,221.6,134
"RHODESIA X 22 G",325.71,130,132.51,134
"SER YOGUR CALCIO FRUTILLA PACK  2 X 125",783.27027,128.00003,230.04006,136
"LA BLANCA PICADILLO X 90 G",356.09998,128,116.57998,137
"LA HOJA YERBA X 500 G",1234.1,128,258.74,137
"VIÐAS DE BALBO BORGOÐA X 1250 ML",2175,128,495.94,137
"YOGUR MANFREY YOFREY ENT.D.LEC",212.94001,126,55.44001,140
"MILKAUT LECHE DESCREMADA L.V  X 1L",848.5,125,260.1,141
"SER JUGO MANZANA TENTACION X 9.5 G",199.85,125,62.44,141
"TOPLINE SANDIA X 4 UNI",187.92,125,62.92,141
"HIERBITAL HIERBAS SERRANAS X 500G",1254.14,123,523.52,144
"INCA ANANA/BANANA 30G",148.61,122,39.46,145
"PICADILLO CHANGUITO X 90 G",278.86,122,90.98,145
"CRIA DE COSECHAS TTO X 1250",1593.63,121,516.73,147
"LA ESPAÐOLA LENTEJAS X 500 G",512.3,121,134.78,147
"KNORR SOPA CAS POLLO Y CAB ANGE + FID",523.68999,121,147.97999,147
"GILLETTE PRESTOBARBA ULTRAGRID X UNID",733.44,120,311.82,150
"LAYS 17G.",362.93999,120,62.93999,150
"PAMPERS BABYSAN X 8 (XG) DOBLE CAPA",1318.52761,120,376.52761,150
"PAPEL H.GOLF TEX. 4",605.75001,120,215.75,150
"LA MORENITA MATE COCIDO  X 50 SAQ",779.35,119.99999,247.75001,154
"JUGO P.INCA NARANJA MANGO 30G",143.82,119,36.16,155
"MAURI VAINILLA X 80 G",214.4921,119,65.7421,155
"CLIGHT NARANJA X 10 G",211.97006,118.00004,69.03002,157
"GOLFT PAPEL HIGIENICO BLANCO 4X30",662.2842,118,203.2642,158
"MANTECOL X 40 G",386.16,118,123.02,158
"TRAVIATAS X 3 X 303 G",665.98501,116,157.54501,160
"ZORRO JAB EN POL C/SUV X 400 G",465.6,116,73.52,160
"SER JUGO NARANJA X 12.8G",185.05,115,58.68,162
"COLGATE 70+20",697.14,114,279.9,163
"COSQUIN JABON VERDE",135.37,114,73.81,163
"DIVERSION  X 400 G",839.22,114,223.62,163
"COCA COLA X 500 CC",527.19001,113,88.68001,166
"MILKAUT LECHE ENTERA L.V X 1 L NUEVO",763.6,112,248.4,167
"COLGATE DENTIFRICO SABOR ORIG X 70 G",504.29,110,184.29,168
"ILOLAY YOGUR ENT.VAINILLA. BEBIBLE X 1 L",678.58987,109.99998,154.98997,169
"ARCOR CHOCOLATE BLANCO X 25 G",218.84,109,83.64,170
"POLVORITA FRUTILLA X 80 G",162.6,108,49.2,171
"M&K TIRABUZON X 500 G",236.41304,107,39.15304,172
"MINORA",213.68,106,117.22,173
"ALA JABON PAN X 200 G",416.74,104,126.31,174
"LA ESPAÐOLA POROTO ALUBIA X 500 G",486.46,104,130.78,174
"LANA DE ACERO ECO X 50 G",157.69,104,48.49,174
"SAVORA MOSTAZA X 60 G",208.35997,103.99998,59.63999,177
"JABON P.ALA MULTIACC.SOL 400G",580.63,103,153.18,178
"MAGGI CALDO VERDURA 12UN.",556.12,102,159.34,179
"TANG JUGO NARANJA X 35 G",164.82,102,52.62,179
"SWIFT PICADILLO X 90",273.59,101,101.89,181
"LITORAL YERBA MATE X 25 UNID",444.49,100,139.49,182
"ARCOR CHOCOLATE NEGRO X 25 G",199.12,99,79.39,183
"JUGO P.INCA NARA BAN.30",120.47,99,31.55,183
"CALDO MAGGI GALL.12 UN.",539.106,99,153.996,183
"YOGUR MANFREY C/CEREAL V",377.33,99,90.23,183
"ACTIMEL MULTIFRUTA 6 X 100 G",1181.23012,98.00001,210.37003,187
"CERROS TUCUMANOS YOGUR  VAINILLA X 1 L",445.24,98,114.64,188
"AMANDA YERBA X 500 G",1211.31,97,508.74,189
"SER YOGUR C/CEREALES X 165 G NUEVO",540.85,97,114.02,189
"LA VIRGINIA TE X 50 SAQ",517.04,96.99999,151.35,191
"ROSAURA FACTURAS RELLENAS-SACRAMENTO",115.02,95,114.07,192
"TOPLINE FRUTA X 4 UNID",142.92,95,47.92,192
"CHORISO COLORADO",517.77008,94.00001,236.75004,194
"DOS CORAZONES BOCADITO FELFORT X 26 G",330.63,94,113.29,195
"TANG JUGO NARANJA MANGO  X 25 G",152.76,94,49.36,195
"OBLITA FRUTILLA X 96 G",263.92,94,75.03,195
"DOS ESTRELLAS SAL GRUESA X 1 KG",250.1537,94,85.6537,195
"JABON T.MIX SUAVE 3X90G",647.4601,93.00001,192.69003,199
"LA SERENISIMA MANTECA X 100 G",513.46,93,119.9,200
"LA VIRGINIA CAFE EN SAQ. X 20 UNDS",1286.46,92,425.6,201
"TANG JUGO NARANJA DULCE  X 25 G",147.82,92,46.62,201
"TANG JUGO PERA X 35 G",150.46,92,49.26,201
"ADES DURAZNO X 1 L",595.14,91,139.3,204
"VIENISSIMA X 6 X 225 G",913.41,91,290.06,204
"ROSAURA MAIZENITAS",92.4,91,91.49,204
"ODOL NUEVO X 70G",329.39,91,111.66,204
"LA ESPAÐOLA MAIZ BLANCO X 500 G",237.34,91,62.62,204
"JUGO P.INCA NARJ/DUR.X30G",110.38001,91,27.84001,204
"INCA JUGO P. LIGHT NARANJA 10G",109.37,91,43.85,204
"CALIPSO TOALLAS CON ALAS X 8 UNID",229.04,91,81.5,204
"LA LOMA CREMOSO PROMO",2615.49275,90.79999,739.78293,212
"GALL.OREO C/CHOCO/RELLE 111G",441,90,118.8,213
"ULTRA GRASA X 500G",544.8602,90,170.4602,213
"FANACOA MAYONESA X 125 CM3",106.59,89,35.39,215
"VUAL PAPEL HIGIENICO 6 X 50 MTS",1065.81,89,443.7,215
"CERROS TUCUMANOS YOGUR  FRUTILLAX 1 L",397.03,87,97.53,217
"GRANIX  SKARCHITOS CEREAL  X 240 G",440.83,87,194.43,217
"SER JUGO NARANJA DULCE X 10.4 G",138.99,87,43.36,217
"CLIGHT ANANA X 9 G",154.44,86,50.36,220
"SERENITO POSTRE ROCLET X 120 G",577.44,86,156.1,220
"BOB CHOCO",106.25,85,28.05,222
"JUGO P.ARCOR NARANJA 25G",128,85,50.65,222
"YOGUR MANFREY BEB.VAINILLA 1L",551.79,84.99999,136.45,224
"POLVORITA VAINILLA LIA X 80 G",132.13,83,43.73998,225
"SER JUGO NAR DUR X 8.6G",133.95,83,43.48,225
"ALICANTE CALDO P/SAB GALLINA X 10G",104.24,82,45.2,227
"HELLMANNS MAYONESA X 250 CC",342.7,82,115.07,227
"HELLMANNS MAYONESA DOY PACK X 500CC",629.48001,82,194.24,227
"ALICANTE CALDO P/SAB VERD X 10",103.94,82,44.9,227
"LA ESPAÐOLA BURGOL FINO X 500 G",329.90922,80.00002,92.3492,231
"MICHEL TORINO SELECCION X 700 ML",575.4763,80.00002,177.0762,231
"ECOOO TRAPO DE PISO GRIS",394.6,80,142.6,233
"ZUKO JUGO.P.UVA 25 G",60,80,26.4,233
"TANG JUGO MANZANA X 35 G",126.01,80,38.01,233
"KNORR SOPA CASERA DE VER C/ARROZ X 82G",345.31,80,117.63,233
"INCA JUGO P. MANDARINA",96.17,80,25.77,233
"ILOLAY YOGUR C/CEREALES X 150 G",302.67,80,80.56,233
"FATY GRASA X 500 G",717.50999,79.00002,212.7,239
"HIGIENOL EXPORT X 6",749.867,79,294.80699,240
"ROSAURA PAN LACTAL 15 FETAS",403.4,79,403.4,240
"PEPSI X 3000 CM3",1246.41,79,290.83,240
"ILOLAY YOGUR ENT.DURAZ. BEBIBLE X 1 L",486.51,79,109.77,240
"ICB DE PATY SALCHICHAS X 6",277.53,79,75.29,240
"LA SERENISIMA CHUBUT  X K",3984.11325,78.65,918.33646,245
"SAVORA MOSTAZA X 250 G",359.02001,78,104.74,246
"SWIFT GRASA X 500 G",831.01,77.99999,305.35,247
"ROSAURA PAN NEGRO",785.505,77.945,784.72555,248
"AYUDIN LAVANDINA MAXIMA PUREZA X 1L",339.57014,77.00003,104.48004,249
"HIGIENOL EXPORT 4 X 40",505.19,77,157.15,250
"M&K RIGATTI X 500 G",169.87,77,11.25,250
"LAYS  X 38 G",387.8,77,68.25,250
"ROCKLETS X 20 G",148.02999,75.99999,60.88999,253
"BLANCAFLOR LEUDANTE X 1 K",355.05,75,100.47,254
"VIDACOL MULTF X 4 X 80 G",941,75,174.06,254
"FAVORITA RAVIOLES RICOTA X 500",795.57,75,228.57,254
"ACTIMEL FRUTILLA 6 X 100 G",880.80017,74.00001,160.72003,257
"HIGIENOL PAPEL HIGIENICO TEXT X 4 NUEVO",334.15,74,115.85,258
"JUGO P.INCA POMELO ROSADO",89.14,74,22.34,258
"SERENITO COMBINADO X 130 G (VAINILLA DCE",349.42,74,92.96,258
"JUGO P.INCA FRUTOS ROJOS 30G",87.94014,73.0001,21.87004,261
"FARGO SALVADO DOBLE DIET X 440 G",1069.95014,73.00001,285.20004,262
"CLIGHT MANGO X 10 G",132.92,73,44.6,263
"JUGO P.TANG DURAZNO 25G.",116.07,73,35.77,263
"JUGO P.INCA PERA 30G",88.62,73,22.73,263
"ROSAURA PAN LACTAL SALVADO 375G",390.40988,72.99998,193.84988,266
"LA SERENISIMA QUESO RALLADO X 40 G",366.26,72,102.89,267
"MILKAUT QUESO RALLADO 40G",348.9,72,104.73,267
"BAGGIO PRONTO MULTIFR JUNIOR X 125 ML NU",106.33,71,31.88,269
"MAROLIO SERV X 40 UNID",244.92,71,85.88,269
"ELITE PAÐUELOS DESC X 6 X 10",479.92,71,128.47,269
"ESPONJA DORADA ECO",178.85,70,43.75,272
"RIERA TOSTADAS LIGHT X 200 G",584.94,70,155.84,272
"ZUCOA X 180 G",246.68,70,74.34,272
"ZUKO JUGO  PERA 1L",52.5,70,23.1,272
"YOGURISIMO FIRME ENT VAINILLA X 200 FORT",282.81,70,61.37,272
"PATYVIENA SCOOBY-DOO X 6",563.78,70,159.18,272
"LITORAL YERBA SAQUITOS S/SOBRE X 50 U",486.48,70,156.08,272
"JABON T.REXONA NATURAL 125G",283.78,70,79.36,272
"ACE NAT ALOE V MANZA X 800G",456,69,130.32,280
"LITORAL YERBA EN SAQUITOS SIN SOBRE X 25",239.48999,69,75.95999,280
"DANICA DORADA X 100 G",179.18998,69,57.71998,280
"CEREAL MIX LIGHT MANZANA X 23 G",207,69,64.17,280
"SERENITO FLAN PACK X 2   105 G",310.45,69,76.72,280
"PLUSBELLE ACOND SEM DE LINO Y MIEL X 1 L",774.59001,69,239.84002,280
"DANONINO MAXI BEBIBLE X 200 G",389.02992,68.99998,94.89998,286
"BON O BON BOMBON SUAVE  X 17 G",101.95,68,40.07,287
"DANETTE DULCE DE LECHE 2 X 100 G",461.28,68,112.88,287
"SER JUGO PERA DULCE X 11.5 G",109,68,34.28,287
"ILOLAY YOGUR ENTERO VAIN.FIRME X 200 G",172.61998,68,50.85998,287
"CAFE LA VIRGINIA EQUILI.250G.",810.66016,67.00001,243.84005,291
"ALICANTE PIMENTON EXTRA X 25 G",170.3,67,77.17,292
"MAURI FAUNA X 150 G",196.69,67,72.74,292
"PEPITOS GALLETAS X 118G",315.69,67,82.6,292
"VIDACOL FRUTILLA X 4 X 80 G",842.75,67,160.66,292
"QUESO FINLANDIA LIGHT X 200 G",626.18,67,143,292
"OBLITA VAINILLA X 96 G",199.15,67,55.94,292
"MANTECA MANFREY 100G.",308.6,67,91.5,292
"BAGGIO PRONTO DURAZNO JUNIOR X 125 ML",101.4,66,32.06,299
"CBSE YERBA X 500 G",933.64,66,269.31,299
"MAURI SIN SAL X 400 G",520.68,66,154.38,299
"ZORRO JABON P. LAV.MANO 400G.",262.68,66,78.51,299
"SECCO LIMON X 2250 CC",448.35,66,112.88,299
"SANCOR ENTERA X 1 L (LARGA VIDA)",481.06011,65.00002,98.86002,304
"COCA COLA X 1500 CC ZERO",700.32,65,144.58999,305
"SANCOR MANTECA CLASICA X 100 G",407.28,65,120.86,305
"LA TUCUMANITA RAV POLLO 500G.",462.19,65,137.19,305
"NIDO LECHE + NUTRICION X 800 G",2407.23,64,666.58,308
"BOLSA 4.00 PESOS",257.11993,63.99998,138.71996,309
"ALWAYS BASIC C/ALAS X 8",319.75,63,130.12,310
"YOGUR ACTIVIA FRUTILLA 500G",701.65,63,135.81,310
"JUGO P.ARCOR PERA 25G.",94.53,63,33.24,310
"FIDEO RIVOLI ENTREFINO X 500G",229.67,63,68.39,310
"ARCOR DULCE BATATA  X 1 KG",874.5143,62.475,360.39455,314
"GILLETTE PRESTOBARBA ULTRAGRIP MOVIL X U",380.4,62,170.22,315
"MANTECA LA SERENISIMA C/V",546.04,62,127.53,315
"HOGAREÐA SALVADO X 600 G",672,62,165.46,315
"ARCOR DULCE BATATA C/CHOC X 1 KG",820.47503,61.26497,340.7703,318
"ALICANTE CALDO P/SAB ALBAHACA Y AJO X 10",77.44,61,32.3,319
"BAGLEY SALVADO X 214 G",264.09,61,70.72,319
"JABON T.REXONA MENTA FRESH 125",249.55,61,84.21,319
"JUGO P.TANG NAR/BAN/FRUT 35G.",97.65,61,30.55,319
"PLUSBELLE SH SEMILLAS X 1 LTS",691.29,61,218.54,319
"PLEGARIA ARVEJAS SECAS X 350G",146.27,61,39.52,319
"ALICANTE CALDO P/SAB CARNE X 10",76.59,61,30.84,319
"DONCELLA ALGODON X 75 GRS",291.42,60,100.02,326
"JUGO P.INCA MANZANA 30G",72.34,60,17.92,326
"POSTRE MANFREY VAINILLA",156.48,60,44.28,326
"SERRANAS SANDWICH X 336 G 3 UNID",300.1,60,81.1,326
"MAROLIO PULPA DE TOMATE X 520 G",144.06,60,39.06,326
"PATY HAMBURGUESAS CLASICAS X 334 G",1268.12,60,396.92,326
"JABON T.ARGETINO 200G",279.78,60,84.78,326
"ILOLAY YOGUR ENTERO FRUT.FIRME X 200 G",152.09998,60,44.33998,326
"LA MORENITA CAFE X 125 G",392.91999,59.00001,122.11,334
"ADES ANANA X 1 L",384.73,59,90.17,335
"TANG JUGO NARANJA DURAZNO X 25 G",95.13,59,30.23,335
"SER LIMONADA POLVO X 12.8G",94.25,59,29.94,335
"NATURA MAY X 125 CM3",135.75,59,40.76,335
"FAVORITA FIDEO SPAGHETTI X 500 G",250.75,59,72.57,335
"EL TUCUMANO TOMATE TRITURADO X 950 G",373.62,58,112.62,340
"SAL FINA DOS ANCLAS ESTUCHE X 500 G",139.69,58,28.33,340
"SERENITO CHOCO BOMBAS X 118G",383.73,58,100.27,340
"ROSAURA PAN RALLADO X 400G",259.6501,57.00002,-51,343
"BAGLEY SURTIDO X 400",415.89,57,113.22,344
"CRUZ DE MALTA MATE COCIDO X 25 X 3G",319.76,57,87.83,344
"FARGO TAPAS PARA EMPANADA HORNO X 453 G",457.02,57,134.4,344
"DANETTE CHOCOLATE X 2 X 100 G",384.13,57,91.78,344
"COLGATE DENTIFRICO HERBAL X 90 G",292.45,57,94.61,344
"SER YOGUR CALCIO DURAZNO PACK  2 X 125 G",347.46988,56.99998,100.39996,349
"BAGGIO DURAZNO X 200 CC NUEVO",126.96,56,36.8,350
"VICENTIN GIRASOL X 1500 CC",798.56,56,420.56,350
"SERENITO COMUN VAINILLA X 130 G",259.1577,56,67.6177,350
"KNORR SOPA CREMA DE CHOCLO X 69 G",242.13,56,82.53,350
"JABON T.REXONA NUTRITIVA 125G",226.24,56,75.68,350
"CORONA DE TRIGO LEUDANTE X 1 KG",263.98,56,71.49,350
"ZORRO BIO CRISTALES X 800 G REG",451.8401,55.99998,128.7201,356
"JUGO P.ARCOR NARANJA DUR.25G",86.31,55,36.26,357
"LA SERENISIMA LECHE P/DESC BOT L.V X 1L",484.9,55,111.22,357
"TOYS HUEVOS ARCOR X 22 G",280.45,55,100.6,357
"ROCKLETS X 40 G",206.25,55,79.2,357
"LAYS X 50 G",331.32,55,56.32,357
"GELATINA SHIMY NESTLE FRUTILLA X 110 G",189.59,54.00001,43.13999,362
"BORITA BRISA DE CAMPO X 900",326.77,54,117.07,363
"CD $ 2.00",108,54,62.1,363
"JABON T.REXONA SEN.FRESH 125",219.38,54,73.49,363
"CACHAMATE YERBA X 500 G",654.18,54,197.05,363
"SPEED ENERGY DRINK X 250 CC",351.02,54,116.12,363
"SI DIET X 200 ML",274.07,54,83.87,363
"SANCOR FLAN X 110 G",173.36,54,38.75,363
"POZO MADALENAS X 250 G",347.07,54,98.67,363
"LANZER FOCO",323.55136,54,155.35136,363
"KINDER X 50 G (4 BARRAS)",378.55,54,123.86,363
"FELA FIAMBRE EMP. X KG",2296.64755,53.08501,1005.71743,373
"GALL.TIA MARUCA ARROZ 150G.",446.72,53,123.42,374
"INCA JUGO DURAZNO LIGHT 10 G",63.6,53,25.44,374
"ODOL NUEVO X 180G",380.27,53,123.56,374
"MANA LIVIANAS LECHE X 145 G",210.55,53,62.68,374
"ALA MATIC JAB EN POLVO X 400 G",291.46,52,82.17,378
"COCA COLA X 1500 CC DESC",557.95,52,115.55,378
"YOGUR YOGS FIRME FRUT.125G 2U",278.33,52,57.47,378
"BABYSEC CLAS.XXG 8U.",383.28,52,103.4,378
"AZUCARADAS COCO X 80 G",99.07,52,29.91,378
"PLUSBELLE SH CREME X 1 LTS",580.06,51.99999,177.06,383
"ADES FRUTAS TOPICALES X 1 L",332.81,51,77.45,384
"SANCOR MANTECA X200G VIT DYE",489.64,51,116.7,384
"POLVORITA CHOCOLATE X 80 G",76.2,51,22.57,384
"PALADINI PICADILLO DE CARNE X 90 G",177.12,51,55.23,384
"ILOLAY MANTECA X 100 G",272.02,51,78.28002,384
"BORA DETERG X 135 CC",129.09,51,53.1,384
"ALA JABON EN PAN X 400G",398.81,51,132.41,384
"QUESO RALL.MANFREY",196.62,50.99999,50.58,391
"DON VALENTIN LACRADO TINTO X 750 CC",1423.85,50,377.85,392
