"Emisión: 10/09/12 12:05:02
Los mas Vendidos $
Año : '2012' , Mes : 'AGO' , Cantidad  : '5000' , Local : 'SUPER EL MERCADITO,SUPER EL MERCADITO (CAPACITACI'"
"PEPSI X 3000 CM3",2044.20868,120,486.10867,50
"FELA FIAMBRE EMP. X KG",2028.53649,54.32501,933.17989,51
"FARGO SALVADO DOBLE DIET X 440 G",1998.72797,120,538.16797,52
"CAROGRAN ARROZ 00000 1KG.",1997.96333,499.99999,772.96335,53
"KNORR CALDO DE GALL X 12 EDI COLECC",1961.12762,276.99999,643.58761,54
"LA LOMA SARDO KG",1939.79403,30.87,797.35417,55
"PAMPERS BABYSAN G   X 9",1919.18648,162,519.86648,56
"PAMPERS BABYSAN X 8 (XG) DOBLE CAPA",1879.41702,161,535.58702,57
"GRACIELA REAL 0000 X 1 KG",1876.42716,321.99998,523.84714,58
"ACE MATIC NAT C/SUAV X 400",1862.5103,518.99997,448.26031,59
"EL CRAIKENSE QUESO CREMOSO X K",1854.61634,51.74,646.75837,60
"SUSSEX CLASICO X 3 ROLLO DE COCINA NUEVO",1850.84204,207.99999,796.28204,61
"GRANIX SAÑVADO 810 G",1812.57756,165,441.42756,62
"MUCHO GUSTO ARROZ  X 1 KG",1788.85665,380,705.85666,63
"MUCHO GUSTO ARROZ  L/FINO X 500 G",1782.17409,727.99986,675.61433,64
"HIERBITAL HIERBAS SERRANAS X 500G",1769.705,170.99998,634.265,65
"HUEVO",1718.60103,1819.99989,663.00109,66
"PATY FINITAS X 2",1718.5359,295,511.9859,67
"TURRON OFERTAX4",1660.34388,469,534.74388,68
"EL BIERZO MORTADELA BOCHA X  KG",1643.05643,38.24999,690.62444,69
"LA TRANQUERA YERBA MATE X 25 SAQ",1640.49402,320,544.49402,70
"LA TRANQUERA YERBA MATE X 50 SAQ",1631.96974,161.00001,610.10966,71
"LA LOMA CREMOSO PROMO",1629.41773,54.66503,492.38501,72
"ROSAURA PREPIZZA X 3 UNID",1607.83444,222.00002,380.17438,73
"YOGURISIMO FORTIF X 1L VAINILLA",1600.97348,195.99999,447.83348,74
"VIÐAS DE BALBO BORGOÐA X 1250 ML",1597.71768,92,406.31768,75
"GRACIELA REAL 000 X 1 KG",1593.15047,354.99997,449.7004,76
"ACTIMEL MULTIFRUTA 6 X 100 G",1567.64549,106,265.82549,77
"PALADINI PICADA ESPECIAL X KG",1564.75209,61.30498,706.48239,78
"PRESTO PRONTA X 500 G",1532.93201,311,344.91201,79
"DANONINO MAXI  X 2 VAINILLA",1509.23168,256,382.83168,80
"TATIN ALFAJOR BLANCO X 60 G",1484.61543,737.00003,357.00542,81
"CAMPANITA CLASSIC 6 X 30",1467.40272,169,412.09276,82
"ACTIMEL FRUTILLA 6 X 100 G",1440.56533,97,238.73533,83
"AMANDA YERBA X 500 G",1436.61951,141,386.70952,84
"BRANCA FERNET X 1 L",1411.26656,20,471.26656,85
"HIGIENOL SIN FIN 360 MT",1403.19342,83,582.37342,86
"DANONINO MAXI  X 2 FRUTILLA",1397.74644,237,354.94644,87
"ZORRO BIO CRIST REG X 400 G",1351.22387,332,341.94387,88
"PAMPERS BABYSAN XXG X 8",1343.93598,113,364.75598,89
"ILOLAY LECHE EN POLVO X 800 G",1342.3522,40,364.7522,90
"YOGURISIMO ENTERO C/CEREAL X 135 G",1336.9807,255.00002,344.20057,91
"SANCOR POR SALUT LIGHT X 1 K",1327.08162,19.51502,505.10916,92
"FIAMBRE SURTIDO ESPECIAL X K",1318.03685,45.31,575.60952,93
"LA PAULINA QUESO BARRA X  K",1305.81561,25.36998,531.02313,94
"CBSE YERBA X 500 G",1287.11597,90,401.31597,95
"FELA SALAME MILAN X KG",1268.24251,19.19,564.92326,96
"TATIN ALFAJOR LECHE X 60G",1256.22655,622.00003,304.56649,97
"SANCOR BEBE 1 X 250 CM3",1252.49302,184,253.37302,98
"NUTRILON 1 X 800 G NUEVO",1218.93,9,274.02,99
"BROCHE DE ORO YERBA X 500 G",1218.12528,125,358.02528,100
"3 ARROYOS PIERNA/MUSLO POLLO X K",1213.03753,55.23,623.73343,101
"GRANIX FRUTIGRAN C/AVENA Y PASAS X 500 G",1185.56029,107,314.58029,102
"MANFREY DULCE DE LECHE X 400G",1178.17286,168.99997,345.74291,103
"GILLETTE PRESTOBARBA ULTRAGRID X UNID",1171.16296,190.99999,498.84296,104
"Fichado a Rubro: A/ANIMALES",1162.77909,805.99992,-0.52088,105
"KNORR CALDO DE VER X 12 EDI COLECC",1156.76359,164.99999,372.55359,106
"FIDEO M&K LARGOS X 500 G",1154.63585,433,286.68584,107
"SANCOR CREMOSO KG",1151.609,21.98,399.45341,108
"ROSAURA PREPIZZA X 2 UNID",1148.12395,186.99997,353.37408,109
"SANCOR LECHE EN POLVO BEBE 2 X 800 G",1142.24,16,228.32,110
"HIGIENOL MAX 4 ROLLOS X 80 METROS",1108.27452,70,434.27451,111
"LA SERENISIMA POR SALUT DIET KG",1107.6488,16.32,363.5927,112
"MANFREY LECHE EN POLVO X 800 G",1105.99,36,302.83,113
"SANTA ELENA LECHE EN POLVO X 800G",1091.16128,41,328.97128,114
"PALADINI SALAME MILAN X K",1091.09156,12.005,482.32538,115
"ARCOR DULCE BATATA  X 1 KG",1089.62584,80.20999,482.11193,116
"BIO PACK X 4 MULTIF",1089.3702,86,230.2302,117
"OPERA OBLEAS X 55 G",1086.42972,370.00004,302.02964,118
"LA VIRGINIA TE X 25 SAQ NUEVO",1080.59518,375.99999,351.15523,119
"CELUSAL X 500 G",1079.73038,364.99999,335.67038,120
"NATURA X 3000 CC",1078.55085,35,530.80085,121
"CAROGRAN ARROZ 00000 X 500G",1074.29887,552.99996,383.04883,122
"PLUSBELLE SH CREME X 1 LTS",1066.77031,94.99999,330.5203,123
"GRACIELA REAL 0000 X 5KG",1054.57409,35,303.82409,124
"JABON T.MIX SUAVE 3X90G",1045.84782,131,384.97782,125
"GRANJA DEL SOL MILANESA DE SOJA  T.C  33",1039.23848,52,352.40848,126
"M&K DURAZNO X 820G",1027.37071,119,358.7907,127
"HARINA INVICTA 1KG.",1017.66753,333.99994,282.86769,128
"ZORRO JABON P. LAV.MANO 400G.",1015.87555,246.99999,326.74556,129
"PURISIMA ENTERA EN POLVO X 800 G",1009.71693,30,354.81693,130
"CALSA LEVADURA  X 50 G",1004.85424,358.00009,306.75404,131
"ROSAURA PAN NEGRO",991.68563,81.93,990.86634,132
"BIO PACK X 4 FRUTILLA",989.05999,78,209.83999,133
"GALL.TIA MARUCA ARROZ 150G.",983.83,97,256.33,134
"ARCOR DULCE BATATA C/CHOC X 1 KG",979.42132,72.35501,432.29717,135
"PAPEL H.GOLF TEX. 4",968.71189,159.99999,346.31193,136
"PERIQUITA YERBA MATE X 500 G",963.50892,103.99997,285.1989,137
"HELLMANNS MAYONESA X 250 CC",955.09432,188,382.09433,138
"NIDO X 400 G",948.29,40,273.09,139
"DIVERSION  X 400 G",947.14769,126,266.74769,140
"CRIA DE COSECHAS TTO X 1250",944.06425,71,312.16425,141
"CORONA DE TRIGO LEUDANTE X 1 KG",943.53583,201,359.64585,142
"VITAL 2 LECHE EN POLVO X 800",936.11,15,194.21,143
"ACE NATURALS C/SUAV X 400 G MORADO",935.3246,255,239.5346,144
"CACHAMATE YERBA X 500 G",933.25407,75,345.50407,145
"CHEMBRA VINO 1250 PATERO",928.95,65,239.95,146
"LIMPITUS PH X UNID",919.7306,904.00001,386.37058,147
"DON YEYO RAVIOLES  ESPINACA CARNE X 1KG",912.73,37,266.71,148
"VITAL 3 LECHE EN POLVO X 800",912.54,18,193.62,149
"GATORADE MANZANA X 1.25 L",911.32513,42,272.92513,150
"MARCELE FIDEO TALLARIN X 500 G",910.79275,241,327.69275,151
"PLUSBELLE AC CREME X 1000",904.8903,79.99998,284.89029,152
"GRANIX SEMOLADAS X 450 G",902.03333,94,239.33333,153
"ACE NAT  MATIC ALOE VERA MANZ X 400G",899.5395,248.99999,222.76957,154
"VIENISSIMA X 6 X 225 G",887.04,84,266.28,155
"YOGUR ENTERO MANFREY BEB DURAZ",874.2591,141,234.93911,156
"LEGITIMO ACEITE X 3 L",871.01969,29.99999,461.91969,157
"MERENGADAS X 93 G",869.00093,202,244.82093,158
"YOGURISIMO CREMIX OFERTA X 4",868.92176,94,208.40177,159
"TRAVIATAS X 3 X 303 G",862.61052,141,240.80052,160
"VIDACOL MULTF X 4 X 80 G",860.95271,61.00001,157.6227,161
"JABON P.ALA M.ACC.REGULAR 400G",852.14699,149,322.88699,162
"SER YOGUR CALCIO FRUTILLA PACK  2 X 125",850.83,135,196.98,163
"PALADINI BARRA X K",841.80389,14.25999,324.65606,164
"LA SERENISIMA LECHE DESLA EN P X 400G",839.52,27,178.02,165
"FATY GRASA X 500 G",835.41873,90,260.31873,166
"FARGO RAVIOLES POLLO X 500 G",834.94,43,243.07,167
"COLGATE DENTIFRICO HERBAL X 90 G",826.93184,159.99996,289.38202,168
"3 ARROYOS MED POLLO X K",825.14481,24.685,289.78606,169
"LECHE LA EDITA ENTERA L.V.1L",820.16122,134,194.64122,170
"PATY HAMBURGUESAS CLASICAS X 334 G",819.58995,39,253.30998,171
"ELITE PAÐUELOS DESC X 6 X 10",818.03312,121.00001,219.08305,172
"LECHE P.NIDO CREC.PREV.1 800G",816.87,15.99999,263.27,173
"VITAL 1 LECHE EN POLVO X 800",813.79,10,188.99,174
"YOGURISIMO CREMIX VAINILLA OFERTA X 4",812.77499,88.00001,191.575,175
"LITORAL YERBA EN SAQUITOS SIN SOBRE X 25",808.02096,146,233.02096,176
"TERNERA ESPECIAL X 1 K",800.16684,5.58501,604.69195,177
"LARIO SALAME MILAN X K",798.7617,11.545,348.2825,178
"GRANIX  SKARCHITOS CEREAL  X 240 G",797.70907,156,251.70907,179
"GRACIELA REAL 000 X 5 K",791.16618,35,215.27618,180
"DON VALENTIN LACRADO TINTO X 750 CC",790.72,28,204.96,181
"LARIO JAMON COCIDO X K",775.40739,11.485,338.40304,182
"SERRANAS SANDWICH X 336 G 3 UNID",769.19526,138,210.29526,183
"FLAN SIN HUEVO MANFREY DE VAIN",766.90785,327,260.05784,184
"SANCOR SARDO KG",766.55855,7.625,256.2173,185
"GRANIX SKRACHITOS 240 GRS.",763.36379,150,245.36379,186
"SER YOGUR CALCIO DURAZNO PACK  2 X 125 G",750.39159,119,176.04159,187
"M&K RIGATTI X 500 G",746.50885,283.99999,212.40887,188
"SANCOR QUESO POR SALUT LIGHT X 200 G",746.48,75,185.48,189
"SWIFT GRASA X 500 G",744.24155,68,336.92155,190
"ALA MULTIACCION C/VIVE CLA 400",744.04695,130,186.12697,191
"SANCOR PATEGRAS X 1 K",743.42271,8.855,282.78561,192
"ADES DURAZNO X 1 L",742.59301,110,198.45301,193
"COCA COLA X 1500 CC DESC",737.68,64,168.44,194
"M&K TIRABUZON X 500 G",727.00643,276,189.03644,195
"PATY HAMBURGUESAS EXPREESS X 276 G",725.40079,46,236.88079,196
"QUESO FINLANDIA LIGHT X 200 G",720.19689,76,168.4369,197
"BRANCA FERNET X 750 CC",718.94641,14,191.00641,198
"VASO OFERTA",718.77234,196.00001,168.01233,199
"VANOLI ACEITUNA X 1K",714.94964,28.47001,375.84766,200
"SECAPISOS SACCHI N¬40",709.05897,31,214.95897,201
"M&K YERBA X 500G",706.47205,85.99997,222.36209,202
"KINDER SORPRESA 20G",702.69623,99.00002,272.66623,203
"CALDO X 1 UND",701.9484,1157,412.6984,204
"CAMELLO VAJ X 750ML",700.24714,124,226.90713,205
"FAVORITA RAVIOLES RICOTA X 500",700.03019,64,201.4701,206
"ICB DE PATY SALCHICHAS X 6",688.29774,169,193.12774,207
"PLATO VIDRIO HONDO/PLAYO",687.60235,178.00001,271.08234,208
"ARCOR DULCE DE MEMBRILLO X K",683.13822,41.09,309.42413,209
"PAPEL H.CAMPANITA 60MT",681.78624,448,292.02624,210
"KINDER HUEVO X 20 G",676.89781,95,230.39781,211
"MILKAUT QUESO RALLADO 40G",673.34902,129.99999,200.34901,212
"SPRITE X 2250 CC",668.11017,51.00001,148.87003,213
"MANTECA LA SERENISIMA C/V",665.95344,76,160.75344,214
"LAYS X 150 G",665.31,44,115.31,215
"CACHAMATE YERBA ROSA X 500 G",659.58014,54.00001,190.50004,216
"RHODESIA X 22 G",659.31114,261.00002,236.4911,217
"BIANCHI BORGO±A X 750 CC",657.41,39,171.4,218
"COCA COLA X 1500 CC ZERO",654.50018,57.00002,147.35004,219
"YOGUR BEBIBLE MANFREY BANANA",653.14969,106.99999,169.50973,220
"EFFICIENT REXONA X 100 G",650.92465,63,241.29465,221
"MIRINDA X 2250 CC MANZANA",645.45,47,149.41,222
"HOGAREÐA SALVADO X 600 G",634.01875,58,160.15875,223
"SONRISAS GALLETAS X 118 G",632.00704,147,176.30704,224
"YOGURISIMO FIRME 4X125G",630.97518,70.00003,152.87498,225
"BAGLEY SURTIDO X 400",628.43324,85,169.43324,226
"PLUSBELLE AC BAMBU X 1000",627.43001,56.00001,193.43001,227
"FAVORITA RAVIOLES RICOTA VERDURA X 500",625.92005,57,181.89002,228
"DOS CORAZONES BOCADITO FELFORT X 26 G",618.56666,162,211.58666,229
"LA SERENISIMA LECHE EXTRA CALC",616.69028,96,130.93028,230
"YOGUR.ACTIMEL.VAINILLA.6X100G",615.09,42,94.71,231
"ILOLAY YOGUR BATIDO FRUTILLA X 125 G",614.58389,320,203.09389,232
"BRANCA FERNET X 450 CC",610.48,17,187.35,233
"PALADINI JAMON CRUDO X KG",603.2355,2.885,201.0785,234
"CITRIC NARANJA X 1L",601.52032,52,172.16036,235
"DOVE JABON CREMOSO X 90 G",600.18812,84,189.86812,236
"KNORR CALDO DE GALLINA EDICION X 6",599.86374,99,244.85374,237
"7UP X 2250 CC",596.67,43,142.31,238
"JUGO P.INCA NARANJA",595.84222,485.00001,167.01223,239
"VIDACOL FRUTILLA X 4 X 80 G",594.02023,42.00002,109.76003,240
"SANCOR BEBE 1 (UNO) POLVO X 400 G",592.54,12,127.42,241
"COLGATE TRIPLE ACCION X 180G",592.42348,47.99999,205.73348,242
"ALA JABON PAN X 200 G",591.54326,145,186.99326,243
"COMBO ALA 1.5 + DETER ALA750",590.56055,21,590.56055,244
"ESENCIAL TEXTURADO 4X30",588.08772,89.99999,196.58772,245
"ADES ANANA X 1 L",587.16001,86.99999,158.82001,246
"DANETTE DULCE DE LECHE 2 X 100 G",586.19,80,163.48,247
"SAVORA MOSTAZA X 250 G",585.97066,123,204.16066,248
"PATY HAMB LIGHT X 4",585.28,24,220.72,249
"NESCAFE DOLCA SUAVE X 170 G",584.52,24,176.52,250
"JABON P.ALA MULTIACC.SOL 400G",584.28891,101,148.57891,251
"MAURI SIN SAL X 400 G",582.34394,65,173.87394,252
"ILOLAY YOGUR ENT.FRUTILLA. BEBIBLE X 1 L",578.75121,90.99998,136.49121,253
"PATYVIENA SCOOBY-DOO X 6",578.1298,72,161.9698,254
"CALDO MAGGI GALL.12 UN.",575.21573,103.99999,212.25575,255
"PAMPERS BABYSAN M G 28UN",575.03433,14,152.61433,256
"DULCE DE L.GRANJA DE ORO 400G",573.96419,93,160.1142,257
"ROSAURA TORTA DE HOJALDRE REDONDAS",573.54245,16,165.54245,258
"ALA JABON EN PAN X 400G",572.0964,73,198.3664,259
"BON O BON NEGRO X 20 G",571.02431,377,246.80431,260
"DANONINO MAXI BEBIBLE X 200 G",571.01013,96.00001,139.97003,261
"NOBLEZA GAUCHA YERBA AZUL X 500 G",567.38603,46,190.64603,262
"VIENISSIMA C/QUESO X 225 G",564.58098,45,167.23098,263
"PLUSBELLE SH SEMILLAS X 1 LTS",563.25598,49,183.50598,264
"FIDEO CHICAGO X 500 G",561.16401,196.99996,163.22405,265
"SOLITAS LEGENDARIA GALLETAS X 1 K",561.03,42,166.55,266
"SANCOR QUESO RALLADO REGGIANITO X 40 G",560.18007,107,143.95002,267
"SERENITO POSTRE ROCLET X 120 G",559.60964,79,154.33964,268
"KENIA JABON VARIEDAD X 3 UNIDADES",559.43799,107.99999,165.23798,269
"LA TUCUMANITA RAV POLLO 500G.",558.94,73,165.44,270
"PAPEL H.NATURAL GOLF 4R",556.30525,94,190.64525,271
"YOGUR MANFREY YOFREY ENT.FRUTI",553.63892,304,149.31892,272
"MAGGI CALDO VERDURA 12UN.",551.32188,99.99998,202.32188,273
"M&K COCTEL DE FRUTAS X 820 G",550.72,49,218.31,274
"66 SALAMIN X 1",546.50939,45,193.03941,275
"ILOLAY DULCE DE LECHE CLA X 400 G",545.80374,59,148.14375,276
"FIDEO SPAGHETTI CHICAGO",545.23944,191,159.41944,277
"66 SALAME MILAN",545.20354,10.99498,244.27085,278
"CINDOR  FORTIFICADA X 1 L",541.96,44,121.32,279
"TORO CAJA TINTO X 1 L",540.18167,54.00001,162.18159,280
"ESPADOL JAB ORIGINAL 3X90G",539.15894,36,175.55894,281
"FANTA X 2250 CC NARANJA",537.66605,41,120.52605,282
"LYSOFORM AIR ORIGINAL X 360 CM3",537.48152,38,148.14152,283
"COLGATE TRIPLE ACCION X 90G",535.33342,80,208.38342,284
"YOGUR MANFREY YOFREY ENT.VAINI",534.76301,293.99996,143.74302,285
"COCA COLA X 500 CC",534.38,107,89.26,286
"ILOLAY YOGUR BATIDO VAINILLA X 125 G",533.3915,276,179.2015,287
"PAMPERS BABYSAN X 14 (XG)",532.41626,24,111.69626,288
"POSTRE MANFREY VAINILLA",532.29145,212.00003,180.37139,289
"LADYSOFT NORMAL C/ALAS X 16",531.83204,94.00001,223.51203,290
"JABON P.ZORRO BIOCRISTAL 3KG",528.39659,15,171.35659,291
"MAGISTRAL LIMON X 300",527.39862,54,202.63862,292
"SANCOR MANTECA X200G VIT DYE",526.86434,52,130.6243,293
"FARGO RODAJA FINA X 440 G",525.48967,38.99997,141.72992,294
"NORTON CLASICO TINTO X 750 ML",524.66,30,126.9,295
"BORITA SUAVEIZANTE SOL X 900 CC",517.71513,72,216.42514,296
"FARGO TAPAS P/PASCUALINA LIGHT  X 390 G",512.85959,52,152.03959,297
"FARGO TAPAS P/PASCUALINA DE HOJ X 2",512.8,52,153.33,298
"PAMPERS BABYSAN XG 44UN",512.73,6,139.09,299
"VIDACOL VAINILLA X 4 X 80 G",512.04,36,96.96,300
"ADES FRUTAS TOPICALES X 1 L",511.42731,76,139.39731,301
"ADES NARANJA X 1 L",511.27858,76,139.24858,302
"SER YOGUR C/CEREALES X 165 G NUEVO",510.25,86,106.15,303
"SOLITAS PEPAS X 1 K",509.77298,38,163.72298,304
"SUAVIZANTE BORITA X 900 CC",508.63841,72,207.76841,305
"COLGATE 70+20",508.30983,83,204.52983,306
"CAREFREE PROT.DIA. LARGO 20",507.80521,46,188.50521,307
"PLUSBELLE SH BAMBU X 1 LTS",507.64001,45.00001,158.89001,308
"VIENISSIMA X 10 X 375 G",507.51196,29,147.62196,309
"FANTA X 1500 CC ZERO",505.59998,45,121.09,310
"DON YEYO RAVIOLES ESPIN POLLO X 500 G",504.76,34,148.65,311
"PATY SUPER X 500 G",502.16495,16,154.00495,312
"YOGS FORTIFICADO FRUTILLA X 1 L",501.26489,56,104.78489,313
"LA SERENISIMA QUESO RALLADO X 40 G",500.85274,94.99994,144.60298,314
"COCA COLA X 2250 CC",499.92532,38,133.22532,315
"LA VIRGINIA TE FILTRADO R.100U",497.09784,42,164.87783,316
"SI DIET X 500 CC",494.49579,49,162.76579,317
"BLEM LUSTRA MUEBLE X 400 CM",494.28608,30,162.33608,318
"NUTRILON 2 X 800 G",493.9,5,98.8,319
"TARAGUI MATE COCIDO SAQ X 50 S/ENS",493.06778,45,150.16778,320
"SANCOR BEBE 1 (UNO) POLVO X 800 G",492.67,6,107.59,321
"MORA PURE DE TOMATES X 520 G",490.82787,122,139.93786,322
"SANCOR DULCE DE LECHE 400G",489.57749,43,137.83751,323
"DULCOR POSTRE DDL X K",488.76396,18.805,190.70471,324
"DOMINGO HERMANOS TORRONTES X 4650 CC",487.27,7,151.22,325
"X5 LAVANDINA X 1000 CC",485.02358,128.99998,148.96359,326
"FARGO ÐOQUIS 500 G NUEVO",485.01,39,139.2,327
"SANCOR ENTERA X 1 L (LARGA VIDA)",483.57,61,107.2,328
"YOGUR MANFREY YOFREY ENT.D.LEC",483.39326,266,129.61323,329
"TARAGUI YER.MAT.C/P.(4FLEX)500",483.03189,40,142.59189,330
"ILOLAY YOGUR ENT.VAINILLA. BEBIBLE X 1 L",481.02,76,111.66,331
"DOVE ANTITRA DESOD X 100 G",475.67756,23,175.30756,332
"EFFICIENT REXONA X 200 G",475.59862,30,172.72862,333
"QUESO RALL.MANFREY",474.8904,111,135.2304,334
"BORITA SUAV BEBE X 900 CC",474.27014,66.99999,194.46014,335
"SUSARELLI AZUL X 1 KG",473.45,36,164.93,336
"HIGENOL PAPEL H.RINDE LISO X 4",473.17851,59.00001,161.06851,337
"GILLETTE MACH 3 REP 1 UNI.",473.12,30,144.72,338
"SECAPISOS SACCHI 50",472.17,15,135.42,339
"LARIO MORTADELA X K",471.45163,9.55999,208.07377,340
"LA SERENISIMA CASANCREM LIGHT X 320 G",468.99891,33,102.36891,341
"MARBELLA CABALLA AL NATURAL X 425 G",467.04057,39.00004,154.98017,342
"FANTA X 1500 CC NARANJA",466.72,42,111.82,343
"ELITE ROLLO COCINA DOBLE X 3",465.21999,34.99999,140.73,344
"LAYS  X 38 G",462.49499,92,80.69499,345
"FARGO TAPAS PARA EMPANADA HORNO X 453 G",461.17138,55,136.22138,346
"LA CAMPAGNOLA PURE DE TOMATES X 520G",460.15611,128,112.57609,347
"SWIFT PICADILLO X 90",459.03378,165,147.13378,348
"LA ESPAÐOLA BURGOL FINO X 500 G",457.28176,113,120.54176,349
"JABON P.SKIP PR.MATIC 800G",456.37,24,145.33,350
"ILOLAY PATEGRAS X 1 K",454.99351,6.65001,170.57269,351
"SOLITAS EXHIBICION X 1 K",452.82708,34,150.90708,352
"PAMPERS BABYSAN  G 54",449.93,5,115.96,353
"PALADINI SALAME TIPO CRESPON  X 1 K",449.87752,4.655,213.96222,354
"PAPEL H.ARO BCO.30MT 6R",449.05421,44,167.45421,355
"SUSSEX PREMIUM X 3",448.35,33,168.18,356
"DOMINGO HERM REGIONAL TINTO X 4650",446.52,6,138.54,357
"CREMA DE L.MANFREY PAST.350ML",444.09,45,124.59,358
"ACE MATIC NATURALEZA ALOE VERA MANZ 3 K",439.09108,14,158.21108,359
"SER FLAN TENTACION 2 X 110 G",438.75836,56,133.55836,360
"LA TRANQUERA YERBA X 500 G",438.26147,43,126.51147,361
"GASEOSA COCA COLA RET.2.5LT.",437.61,39,105.15,362
"DON YEYO PASCUALINA HOJALDRE X 400 G",436.12538,44.99999,129.22545,363
"LADYSOFT TOALLAS NOR X 8 UNID",435.4188,144,189.9188,364
"LA TUCUMANITA PASCUALINA",434.89,53,128.19,365
"MANTECA MANFREY CALIDAD EXTRA",432.9191,45,138.1691,366
"HUGGIES CLASSIC G X 9",432.6,37,119.21,367
"LA CAMPAGNOLA ATUN AL NATURAL  X 120 G",431.08,27,131.92,368
"SERENITO FLAN PACK X 2   105 G",431.00148,93,104.57148,369
"LA BLANCA PICADILLO X 90 G",430.18806,152,158.10806,370
"ACTIVIA SACHET FRUT, MANZ X 750 CC",427.97751,43,92.14751,371
"LA VIRGINIA CAFE EN SAQ. X 20 UNDS",427.53997,30,143.73999,372
"LA MORENITA CAFE X 125 G",427.50148,65,129.15148,373
"LA SERENISIMA MANTECA X 100 G",426.82998,76,104.58999,374
"SER YOGUR COLCHON DURAZNO X 180 G",426.51632,58.00004,113.53614,375
"CAFE LA VIRGINIA EQUILI.250G.",426.37766,35,130.27766,376
"SEDAL AC BALANCE NUEVO X 200",426.26678,41.99998,184.76677,377
