codigo de barras;descripcion;pesos;unidades;utilidad;procentaje;acumulado;tipo
7790480008766 ;LA TRANQUERA YERBA MATE X 25 SAQ; 1.640 ; 320 ; 544 ;0,30%;26,5%;yerba
7790787104604 ;ILOLAY YOGUR BATIDO FRUTILLA X 125 G; 615 ; 320 ; 203 ;0,30%;26,8%;yogur
7790580660000 ;PRESTO PRONTA X 500 G; 1.533 ; 311 ; 345 ;0,29%;27,1%;polenta
7790070012050 ;COCINERO GIRASOL X 900 ML; 3.650 ; 308 ; 2.163 ;0,29%;27,4%;aceite
7791058002216 ;YOGUR MANFREY YOFREY ENT.FRUTI; 554 ; 304 ; 149 ;0,28%;27,7%;yogur
7790895006418 ;COCA COLA X 3000 CC; 4.681 ; 296 ; 1.003 ;0,28%;28,0%;gaseosa
7790670001577 ;PATY FINITAS X 2; 1.719 ; 295 ; 512 ;0,28%;28,2%;hamburguesa
7791058002223 ;YOGUR MANFREY YOFREY ENT.VAINI; 535 ; 293 ; 144 ;0,27%;28,5%;yogur
7796613011467 ;M&K RIGATTI X 500 G; 747 ; 283 ; 212 ;0,26%;28,8%;fideo
7796613005435 ;M&K SAL FINA 500G.; 362 ; 279 ; 180 ;0,26%;29,0%;sal
;LA LOMA CREMOSO KG; 9.435 ; 277 ; 3.472 ;0,26%;29,3%;queso
7796613011481 ;M&K TIRABUZON X 500 G; 727 ; 276 ; 189 ;0,26%;29,6%;fideo
7790787104611 ;ILOLAY YOGUR BATIDO VAINILLA X 125 G; 533 ; 276 ; 179 ;0,26%;29,8%;yogur
7794000594555 ;KNORR CALDO DE GALL X 12 EDI COLECC; 1.961 ; 276 ; 644 ;0,26%;30,1%;
7791058002209 ;YOGUR MANFREY YOFREY ENT.D.LEC; 483 ; 266 ; 130 ;0,25%;30,3%;yogur
7796613002533 ;M&K DURAZNO LATA 820G.; 2.146 ; 261 ; 623 ;0,24%;30,6%;
77995681 ;RHODESIA X 22 G; 659 ; 261 ; 236 ;0,24%;30,8%;
7791337094017 ;DANONINO MAXI X 2 VAINILLA; 1.509 ; 256 ; 383 ;0,24%;31,0%;yogur
7793940135217 ;YOGURISIMO ENTERO C/CEREAL X 135 G; 1.337 ; 255 ; 344 ;0,24%;31,3%;yogur
7501065910103 ;ACE NATURALS C/SUAV X 400 G MORADO; 935 ; 255 ; 240 ;0,24%;31,5%;
7790895006081 ;FANTA X 2250 CC MANZANA; 2.304 ; 253 ; 389 ;0,24%;31,8%;gaseosa
77930019 ;BON O BON BLANCO X 17 G; 381 ; 253 ; 164 ;0,24%;32,0%;
7501006734065 ;ACE NAT MATIC ALOE VERA MANZ X 400G; 900 ; 248 ; 223 ;0,23%;32,2%;
7790990991978 ;ZORRO JABON P. LAV.MANO 400G.; 1.016 ; 246 ; 327 ;0,23%;32,5%;jabon
;MARCELE FIDEO TALLARIN X 500 G; 911 ; 241 ; 328 ;0,23%;32,7%;fideo
7791337094024 ;DANONINO MAXI X 2 FRUTILLA; 1.398 ; 237 ; 355 ;0,22%;32,9%;yogur
7798061000161 ;JUGO P.INCA ANANA; 285 ; 234 ; 73 ;0,22%;33,1%;jugo
7613033321191 ;NIDO LECHE + NUTRICION X 800 G; 8.226 ; 225 ; 1.975 ;0,21%;33,3%;leche
7790250014652 ;HIGIENOL EXPORT X 6; 2.151 ; 221 ; 908 ;0,21%;33,5%;
7790895000010 ;COCA COLA X 2000 CC DESC; 2.821 ; 216 ; 764 ;0,20%;33,7%;gaseosa
7790040999503 ;BAGLEY SALVADO X 642 G; 2.358 ; 215 ; 507 ;0,20%;33,9%;
7791058000960 ;POSTRE MANFREY VAINILLA; 532 ; 212 ; 180 ;0,20%;34,1%;
7790250056638 ;SUSSEX CLASICO X 3 ROLLO DE COCINA NUEVO; 1.851 ; 207 ; 796 ;0,19%;34,3%;
7790040932708 ;MERENGADAS X 93 G; 869 ; 202 ; 245 ;0,19%;34,5%;
7790220000067 ;CORONA DE TRIGO LEUDANTE X 1 KG; 944 ; 201 ; 360 ;0,19%;34,7%;harina
;COMBO SEDAL 350 ML 20%DTO.; 2.708 ; 200 ; 2.708 ;0,19%;34,9%;
7798053336001 ;FIDEO CHICAGO X 500 G; 561 ; 196 ; 163 ;0,18%;35,1%;fideo
7798061000277 ;JUGO P.INCA MULTIFRUTAS 30G; 240 ; 196 ; 63 ;0,18%;35,3%;jugo
7791337508019 ;YOGURISIMO FORTIF X 1L VAINILLA; 1.601 ; 195 ; 448 ;0,18%;#°REF!;yogur
7798053339026 ;FIDEO SPAGHETTI CHICAGO; 545 ; 191 ; 159 ;0,18%;#°REF!;fideo
7790580607418 ;ARCOR CHOCOLATE BLANCO X 25 G; 383 ; 190 ; 124 ;0,18%;#°REF!;
7501009222729 ;GILLETTE PRESTOBARBA ULTRAGRID X UNID; 1.171 ; 190 ; 499 ;0,18%;#°REF!;
7794000401280 ;HELLMANNS MAYONESA X 250 CC; 955 ; 188 ; 382 ;0,18%;#°REF!;mayonesa
7622300615840 ;TANG JUGO NARANJA X 35 G; 300 ; 185 ; 87 ;0,17%;#°REF!;jugo
7790080037951 ;SANCOR BEBE 1 X 250 CM3; 1.252 ; 184 ; 253 ;0,17%;#°REF!;
7790050985671 ;CLIGHT MANZANA DELICIOSA X 7.5 G; 334 ; 180 ; 110 ;0,17%;#°REF!;jugo
7792389042971 ;VELAS FAROLITO X 4 UNID; 360 ; 180 ; 173 ;0,17%;#°REF!;
7622300616540 ;TANG JUGO NARANJA MANGO X 25 G; 285 ; 173 ; 35 ;0,16%;#°REF!;jugo
7790050001166 ;CLIGHT NARANJA X 10 G; 315 ; 172 ; 92 ;0,16%;#°REF!;jugo
77986306 ;BOB CHOCO; 257 ; 170 ; 110 ;0,16%;#°REF!;
7795194100072 ;HIERBITAL HIERBAS SERRANAS X 500G; 1.770 ; 170 ; 634 ;0,16%;#°REF!;
7790670001669 ;ICB DE PATY SALCHICHAS X 6; 688 ; 169 ; 193 ;0,16%;#°REF!;salchicha
7791070000313 ;CAMPANITA CLASSIC 6 X 30; 1.467 ; 169 ; 412 ;0,16%;#°REF!;
7791058010662 ;MANFREY DULCE DE LECHE X 400G; 1.178 ; 168 ; 346 ;0,16%;#°REF!;dulce_leche
7790360720115 ;SWIFT PICADILLO X 90; 459 ; 165 ; 147 ;0,15%;#°REF!;picadillo
;GRANIX SA√ëVADO 810 G; 1.813 ; 165 ; 441 ;0,15%;#°REF!;
7794000594548 ;KNORR CALDO DE VER X 12 EDI COLECC; 1.157 ; 164 ; 373 ;0,15%;#°REF!;
7501006720341 ;PAMPERS BABYSAN G X 9; 1.919 ; 162 ; 520 ;0,15%;#°REF!;paÒal
77907509 ;DOS CORAZONES BOCADITO FELFORT X 26 G; 619 ; 162 ; 212 ;0,15%;#°REF!;
7501006720358 ;PAMPERS BABYSAN X 8 (XG) DOBLE CAPA; 1.879 ; 161 ; 536 ;0,15%;#°REF!;paÒal
7790480008773 ;LA TRANQUERA YERBA MATE X 50 SAQ; 1.632 ; 161 ; 610 ;0,15%;#°REF!;yerba
7798130889109 ;PAPEL H.GOLF TEX. 4; 969 ; 159 ; 346 ;0,15%;#°REF!;higienico
7891024133668 ;COLGATE DENTIFRICO HERBAL X 90 G; 827 ; 159 ; 289 ;0,15%;#°REF!;
7791813422112 ;PEPSI X 2000 CM3; 2.096 ; 158 ; 527 ;0,15%;#°REF!;pepsi
7790045001607 ;GRANIX SKARCHITOS CEREAL X 240 G; 798 ; 156 ; 252 ;0,15%;#°REF!;
;LA ESPA√êOLA POLENTA X 1KG; 420 ; 155 ; 116 ;0,15%;#°REF!;polenta
7790580607210 ;ARCOR CHOCOLATE NEGRO X 25 G; 312 ; 155 ; 102 ;0,15%;#°REF!;
7794000730021 ;ADES MANZANA X 200 CC; 407 ; 153 ; 33 ;0,14%;#°REF!;jugo
7790360720122 ;LA BLANCA PICADILLO X 90 G; 430 ; 152 ; 158 ;0,14%;#°REF!;picadillo
77900845 ;TITA X 18 G; 307 ; 152 ; 110 ;0,14%;#°REF!;
7790045802013 ;GRANIX SKRACHITOS 240 GRS.; 763 ; 150 ; 245 ;0,14%;#°REF!;
7791290002678 ;JABON P.ALA M.ACC.REGULAR 400G; 852 ; 149 ; 323 ;0,14%;#°REF!;jabon
7798061000260 ;JUGO P.INCA NARANJA MANGO 30G; 181 ; 149 ; 47 ;0,14%;#°REF!;jugo
7798062540659 ;SER JUGO NARANJA DULCE X 10.4 G; 238 ; 149 ; 72 ;0,14%;#°REF!;jugo
;COSQUIN JABON VERDE; 180 ; 148 ; 100 ;0,14%;#°REF!;jabon
77011107 ;MINORA; 305 ; 148 ; 172 ;0,14%;#°REF!;
7790040931206 ;SONRISAS GALLETAS X 118 G; 632 ; 147 ; 176 ;0,14%;#°REF!;
7790150696217 ;LITORAL YERBA EN SAQUITOS SIN SOBRE X 25; 808 ; 146 ; 233 ;0,14%;#°REF!;yerba
7796613011504 ;FIDEO M&K CODOS X 500 G; 376 ; 145 ; 103 ;0,14%;#°REF!;fideo
7791290785496 ;ALA JABON PAN X 200 G; 592 ; 145 ; 187 ;0,14%;#°REF!;jabon
;LA ESPA√êOLA POLENTA X 500 G; 197 ; 144 ; 56 ;0,13%;#°REF!;
7790250096085 ;LADYSOFT TOALLAS NOR X 8 UNID; 435 ; 144 ; 190 ;0,13%;#°REF!;
7796613000065 ;M&K ARVEJAS 350G.; 401 ; 144 ; 175 ;0,13%;#°REF!;
7792710000021 ;AMANDA YERBA X 500 G; 1.437 ; 141 ; 387 ;0,13%;#°REF!;yerba
7791058002414 ;YOGUR ENTERO MANFREY BEB DURAZ; 874 ; 141 ; 235 ;0,13%;#°REF!;yogur
7790040872202 ;TRAVIATAS X 3 X 303 G; 863 ; 141 ; 241 ;0,13%;#°REF!;
77934567 ;BON O BON BOMBON SUAVE X 17 G; 210 ; 139 ; 91 ;0,13%;#°REF!;
7796613011443 ;M&K DEDALITOS X 500 G; 335 ; 138 ; 98 ;0,13%;#°REF!;
7790040704909 ;SERRANAS SANDWICH X 336 G 3 UNID; 769 ; 138 ; 210 ;0,13%;#°REF!;
7798061000321 ;INCA JUGO P. MANDARINA; 166 ; 136 ; 46 ;0,13%;#°REF!;jugo
7798061000314 ;JUGO P.INCA MANZANA 30G; 168 ; 136 ; 45 ;0,13%;#°REF!;jugo
7794573000071 ;ULTRA JABON BLANCO X 200G; 346 ; 135 ; 165 ;0,13%;#°REF!;jabon
7791337901025 ;SER YOGUR CALCIO FRUTILLA PACK 2 X 125; 851 ; 135 ; 197 ;0,13%;#°REF!;yogur
7794710010208 ;LECHE LA EDITA ENTERA L.V.1L; 820 ; 134 ; 195 ;0,13%;#°REF!;leche
7791293018522 ;JABON T.MIX SUAVE 3X90G; 1.046 ; 131 ; 385 ;0,12%;#°REF!;jabon
7791290002739 ;ALA MULTIACCION C/VIVE CLA 400; 744 ; 130 ; 186 ;0,12%;#°REF!;
7794820000304 ;MILKAUT QUESO RALLADO 40G; 673 ; 129 ; 200 ;0,12%;#°REF!;rallado
7793360257001 ;LA CAMPAGNOLA PURE DE TOMATES X 520G; 460 ; 128 ; 113 ;0,12%;#°REF!;tomate
7792389000322 ;X5 LAVANDINA X 1000 CC; 485 ; 128 ; 149 ;0,12%;#°REF!;
7794000957602 ;SAVORA MOSTAZA X 60 G; 284 ; 127 ; 97 ;0,12%;#°REF!;mostaza
7790040711105 ;DIVERSION X 400 G; 947 ; 126 ; 267 ;0,12%;#°REF!;
7798061000338 ;JUGO P.INCA PERA 30G; 155 ; 125 ; 42 ;0,12%;#°REF!;jugo
7791414000023 ;BROCHE DE ORO YERBA X 500 G; 1.218 ; 125 ; 358 ;0,12%;#°REF!;yerba
7791290006775 ;CAMELLO VAJ X 750ML; 700 ; 124 ; 227 ;0,12%;#°REF!;detergente
7794000957626 ;SAVORA MOSTAZA X 250 G; 586 ; 123 ; 204 ;0,12%;#°REF!;mostaza
7793123160265 ;OBLITA VAINILLA X 96 G; 370 ; 123 ; 106 ;0,12%;#°REF!;
7798106150011 ;MORA PURE DE TOMATES X 520 G; 491 ; 122 ; 140 ;0,11%;#°REF!;tomate
;ELITE PA√êUELOS DESC X 6 X 10; 818 ; 121 ; 219 ;0,11%;#°REF!;
7791813424000 ;PEPSI X 3000 CM3; 2.044 ; 120 ; 486 ;0,11%;#°REF!;pepsi
7793890013221 ;FARGO SALVADO DOBLE DIET X 440 G; 1.999 ; 120 ; 538 ;0,11%;#°REF!;
7791337901049 ;SER YOGUR CALCIO DURAZNO PACK 2 X 125 G; 750 ; 119 ; 176 ;0,11%;#°REF!;yogur
7790500000558 ;M&K DURAZNO X 820G; 1.027 ; 119 ; 359 ;0,11%;#°REF!;
7622300649814 ;JUGO P.TANG NJA.-BAN.25G.; 187 ; 117 ; 53 ;0,11%;#°REF!;jugo
7798061000031 ;INCA JUGO P. LIGHT NARANJA 10G; 140 ; 115 ; 61 ;0,11%;#°REF!;jugo
;LA ESPA√êOLA BURGOL FINO X 500 G; 457 ; 113 ; 121 ;0,11%;#°REF!;hamburguesa
7501006708882 ;PAMPERS BABYSAN XXG X 8; 1.344 ; 113 ; 365 ;0,11%;#°REF!;paÒal
7791058000199 ;QUESO RALL.MANFREY; 475 ; 111 ; 135 ;0,10%;#°REF!;rallado
7794000730076 ;ADES DURAZNO X 1 L; 743 ; 110 ; 198 ;0,10%;#°REF!;jugo
7790580421007 ;ROCKLETS X 20 G; 218 ; 108 ; 80 ;0,10%;#°REF!;
7790895000782 ;COCA COLA X 500 CC; 534 ; 107 ; 89 ;0,10%;#°REF!;gaseosa
7790828101579 ;KENIA JABON VARIEDAD X 3 UNIDADES; 559 ; 107 ; 165 ;0,10%;#°REF!;jabon
7790080014020 ;SANCOR QUESO RALLADO REGGIANITO X 40 G; 560 ; 107 ; 144 ;0,10%;#°REF!;rallado
7790045001218 ;GRANIX FRUTIGRAN C/AVENA Y PASAS X 500 G; 1.186 ; 107 ; 315 ;0,10%;#°REF!;
7791058002407 ;YOGUR BEBIBLE MANFREY BANANA; 653 ; 106 ; 170 ;0,10%;#°REF!;yogur
7791337574854 ;ACTIMEL MULTIFRUTA 6 X 100 G; 1.568 ; 106 ; 266 ;0,10%;#°REF!;
7798153810159 ;ZUCOA X 180 G; 384 ; 105 ; 125 ;0,10%;#°REF!;
;LA LOMA BARRA KG; 5.264 ; 103 ; 2.246 ;0,10%;#°REF!;queso
7792900000428 ;SAL FINA DOS ANCLAS ESTUCHE X 500 G; 254 ; 103 ; 54 ;0,10%;#°REF!;sal
7798056060095 ;PERIQUITA YERBA MATE X 500 G; 964 ; 103 ; 285 ;0,10%;#°REF!;yerba
7891000087879 ;CALDO MAGGI GALL.12 UN.; 575 ; 103 ; 212 ;0,10%;#°REF!;
7790310001431 ;LAYS PAPAS 23 G; 306 ; 102 ; 51 ;0,10%;#°REF!;
7791290002708 ;JABON P.ALA MULTIACC.SOL 400G; 584 ; 101 ; 149 ;0,09%;#°REF!;jabon
7798061000284 ;JUGO P.INCA POMELO ROSADO; 123 ; 101 ; 31 ;0,09%;#°REF!;jugo
7791058000977 ;POSTRE MANFREY DDL 120G.; 252 ; 101 ; 85 ;0,09%;#°REF!;
7790315058263 ;SER JUGO NARANJA X 12.8G; 161 ; 100 ; 50 ;0,09%;#°REF!;jugo
7790150695647 ;ALICANTE CALDO P/SAB GALLINA X 10G; 127 ; 100 ; 55 ;0,09%;#°REF!;
77936455 ;KINDER SORPRESA 20G; 703 ; 99 ; 273 ;0,09%;#°REF!;
7794000594661 ;KNORR CALDO DE GALLINA EDICION X 6; 600 ; 99 ; 245 ;0,09%;#°REF!;
7891000088418 ;MAGGI CALDO VERDURA 12UN.; 551 ; 99 ; 202 ;0,09%;#°REF!;
77953124 ;COFLER BLOCK X 38 G; 394 ; 98 ; 161 ;0,09%;#°REF!;
7622300327279 ;TANG JUGO PERA X 35 G; 156 ; 97 ; 44 ;0,09%;#°REF!;jugo
7791337574021 ;ACTIMEL FRUTILLA 6 X 100 G; 1.441 ; 97 ; 239 ;0,09%;#°REF!;
7790050009469 ;CLIGHT MANGO X 10 G; 175 ; 97 ; 48 ;0,09%;#°REF!;
7798082742675 ;GALL.TIA MARUCA ARROZ 150G.; 984 ; 97 ; 256 ;0,09%;#°REF!;
7790036000589 ;BAGGIO DURAZNO X 200 CC NUEVO; 217 ; 96 ; 63 ;0,09%;#°REF!;jugo
7790036000206 ;BAGGIO PRONTO DURAZNO JUNIOR X 125 ML; 148 ; 96 ; 45 ;0,09%;#°REF!;jugo
7793940115004 ;LA SERENISIMA LECHE EXTRA CALC; 617 ; 96 ; 131 ;0,09%;#°REF!;leche
7791337430020 ;DANONINO MAXI BEBIBLE X 200 G; 571 ; 96 ; 140 ;0,09%;#°REF!;
40084107 ;KINDER HUEVO X 20 G; 677 ; 95 ; 230 ;0,09%;#°REF!;
7791866001197 ;NATURA MAY X 125 CM3; 242 ; 94 ; 116 ;0,09%;#°REF!;aceite
7791818002029 ;PAPEL H.NATURAL GOLF 4R; 556 ; 94 ; 191 ;0,09%;#°REF!;higienico
7793940328008 ;LA SERENISIMA QUESO RALLADO X 40 G; 501 ; 94 ; 145 ;0,09%;#°REF!;rallado
7791337957022 ;YOGURISIMO CREMIX OFERTA X 4; 869 ; 94 ; 208 ;0,09%;#°REF!;yogur
7790045011804 ;GRANIX SEMOLADAS X 450 G; 902 ; 94 ; 239 ;0,09%;#°REF!;
;LA ESPA√êOLA LENTEJAS X 500 G; 406 ; 94 ; 112 ;0,09%;#°REF!;
7790250096108 ;LADYSOFT NORMAL C/ALAS X 16; 532 ; 94 ; 224 ;0,09%;#°REF!;
7790740528652 ;PLUSBELLE SH CREME X 1 LTS; 1.067 ; 94 ; 331 ;0,09%;#°REF!;
7790590004108 ;RANCHA TRAP.PISO 46X60 ECON.; 335 ; 94 ; 133 ;0,09%;#°REF!;
7791058010754 ;DULCE DE L.GRANJA DE ORO 400G; 574 ; 93 ; 160 ;0,09%;#°REF!;dulce_leche
7798053339057 ;RIVOLI SPAGHETTI 500G.; 341 ; 93 ; 103 ;0,09%;#°REF!;fideo
7791337432017 ;SERENITO FLAN PACK X 2 105 G; 431 ; 93 ; 105 ;0,09%;#°REF!;
7790310001226 ;LAYS X 38 G; 462 ; 92 ; 81 ;0,09%;#°REF!;
77919489 ;TOPLINE SANDIA X 4 UNI; 143 ; 92 ; 57 ;0,09%;#°REF!;
;VI√êAS DE BALBO BORGO√êA X 1250 ML; 1.598 ; 92 ; 406 ;0,09%;#°REF!;
7790989003163 ;PICADILLO CHANGUITO X 90 G; 251 ; 91 ; 86 ;0,09%;#°REF!;picadillo
7622300618599 ;JUGO P.TANG NAR/BAN/FRUT 35G.; 148 ; 90 ; 43 ;0,08%;#°REF!;jugo
7790710031014 ;CBSE YERBA X 500 G; 1.287 ; 90 ; 401 ;0,08%;#°REF!;yerba
7790787100408 ;ILOLAY YOGUR ENT.FRUTILLA. BEBIBLE X 1 L; 579 ; 90 ; 136 ;0,08%;#°REF!;yogur
7790670000075 ;FATY GRASA X 500 G; 835 ; 90 ; 260 ;0,08%;#°REF!;
7790450085049 ;FANACOA MAYONESA X 125 CM3; 108 ; 89 ; 37 ;0,08%;#°REF!;mayonesa
7797470129685 ;ESENCIAL TEXTURADO 4X30; 588 ; 89 ; 197 ;0,08%;#°REF!;
7790315058324 ;SER JUGO MANZANA TENTACION X 9.5 G; 141 ; 88 ; 43 ;0,08%;#°REF!;jugo
7797470000571 ;MAROLIO PICADILLO X 90 G; 228 ; 88 ; 69 ;0,08%;#°REF!;picadillo
7791337957015 ;YOGURISIMO CREMIX VAINILLA OFERTA X 4; 813 ; 88 ; 192 ;0,08%;#°REF!;yogur
;ASPIRINETA X COMP 100 MG; 26 ; 88 ; 11 ;0,08%;#°REF!;
7790628102684 ;MAURI VAINILLA X 80 G; 192 ; 88 ; 61 ;0,08%;#°REF!;
7793123160272 ;OBLITA FRUTILLA X 96 G; 257 ; 88 ; 76 ;0,08%;#°REF!;
7790040314108 ;POLVORITA VAINILLA LIA X 80 G; 134 ; 88 ; 40 ;0,08%;#°REF!;
7790787251780 ;ILOLAY QUESO RALLADO X 40 G; 386 ; 87 ; 106 ;0,08%;#°REF!;rallado
;LA SERENISIMA QUESO CREMON X K; 3.606 ; 86 ; 992 ;0,08%;#°REF!;queso
7791337993235 ;SER YOGUR C/CEREALES X 165 G NUEVO; 510 ; 86 ; 106 ;0,08%;#°REF!;yogur
7794000730250 ;ADES ANANA X 1 L; 587 ; 86 ; 159 ;0,08%;#°REF!;
7790080068283 ;BIO PACK X 4 MULTIF; 1.089 ; 86 ; 230 ;0,08%;#°REF!;
;ELITE PA√ëUELOS DESCX 10 UNID; 174 ; 86 ; 105 ;0,08%;#°REF!;
7790628102714 ;MAURI FAUNA X 150 G; 260 ; 86 ; 87 ;0,08%;#°REF!;
7790990184714 ;ZORRO JAB EN POL C/SUV X 400 G; 352 ; 86 ; 58 ;0,08%;#°REF!;
7796613013713 ;M&K YERBA X 500G; 706 ; 85 ; 222 ;0,08%;#°REF!;yerba
7790040929609 ;BAGLEY SURTIDO X 400; 628 ; 85 ; 169 ;0,08%;#°REF!;
7898422746759 ;DOVE JABON CREMOSO X 90 G; 600 ; 84 ; 190 ;0,08%;#°REF!;jabon
7794000401228 ;HELLMANNS MAYONESA X 125 G; 196 ; 84 ; 54 ;0,08%;#°REF!;mayonesa
7790020000960 ;VIENISSIMA X 6 X 225 G; 887 ; 84 ; 266 ;0,08%;#°REF!;
7791070004120 ;ROLISU PAPEL HIGIENICO X UNID; 104 ; 83 ; 36 ;0,08%;#°REF!;higienico
7790040999404 ;BAGLEY SALVADO X 214 G; 355 ; 83 ; 84 ;0,08%;#°REF!;
7793100193569 ;COLGATE 70+20; 508 ; 83 ; 205 ;0,08%;#°REF!;
7790250018766 ;HIGIENOL SIN FIN 360 MT; 1.403 ; 83 ; 582 ;0,08%;#°REF!;
7794000594210 ;KNORR SOPA CAS POLLO Y MUNIC + FID; 367 ; 83 ; 117 ;0,08%;#°REF!;
7791293017587 ;JABON T.REXONA ACQUA 125G; 343 ; 82 ; 117 ;0,08%;#°REF!;jabon
