"Emisión: 31/10/12 12:51:54
Los mas Vendidos Cant.
Año : '2012' , Mes : 'JUL' , Cantidad. : '1000' , Local : 'SUPER EL MERCADITO,SUPER EL MERCADITO (CAPACITACI'"
"GRACIELA REAL 0000 X 1 KG",1365.05265,305,339.17265,52
"M&K TIRABUZON X 500 G",681.4434,288.99998,195.72342,53
"M&K RIGATTI X 500 G",629.44334,285.99999,40.28337,54
"CELUSAL X 500 G",831.29448,283,237.49448,55
"COCA COLA X 3000 CC",4260.35933,280,839.36933,56
"BON O BON BLANCO X 17 G",408.73086,279,162.79086,57
"YOGUR MANFREY BEB.VAINILLA 1L",1667.03674,276.00004,469.07657,58
"KNORR CALDO DE GALL X 12 EDI COLECC",1920.03313,275.99999,597.99312,59
"LEGITIMO ACEITE X 900 CC",2740.56336,275.00003,1646.06323,60
"NATURA GIRASOL X 900 ML",2950.21632,267,1722.01632,61
"MORA PURE DE TOMATES X 520 G",861.23632,266.99995,200.50643,62
"BON O BON BOMBON SUAVE  X 17 G",397.71104,266,160.20104,63
"CALSA LEVADURA  X 50 G",708.83335,265.99999,212.69335,64
"LA TRANQUERA YERBA MATE X 25 SAQ",1244.85972,252.99999,401.53972,65
"LA VIRGINIA TE X 25 SAQ NUEVO",701.92194,249,218.86194,66
"YOGUR MANFREY YOFREY ENT.D.LEC",422.22182,246,112.08182,67
"DOS CORAZONES BOCADITO FELFORT X 26 G",858.86106,245,270.86106,68
"RIVOLI FIDEO ESPECIAL X 0.5 KG",882.16623,244.00008,-268.95412,69
"3 ARROYOS POLLO X 1 KG",3535.30718,241.96505,1265.1821,70
"KINDER SORPRESA 20G",1709.41751,241,623.4375,71
"TATIN ALFAJOR ARCOR X 33 G",299.62732,239,103.64732,72
"PEPSI X 2250 CC",2734.40413,238,361.86413,73
"FIDEO M&K LARGOS X 500 G",596.41241,237,141.37241,74
"NIDO LECHE + NUTRICION X 800 G",8366.12454,235,1950.62454,75
"VASO OFERTA",826.99203,232.99999,172.26203,76
"FIDEO SPAGHETTI CHICAGO",649.51744,231.99999,180.87742,77
"MARCELE FIDEO TALLARIN X 500 G",714.38833,231.00003,183.08826,78
"YOGUR MANFREY YOFREY ENT.VAINI",392.01572,231,101.66572,79
"ZORRO BIO CRIST REG X 400 G",910.55344,226.00002,235.2634,80
"PEPSI X 2000 CM3",2395.15144,225,577.15144,81
"ULTRA JABON BLANCO X 200G",562.08936,223,265.49936,82
"GRANIX  SKARCHITOS CEREAL  X 240 G",1114.32446,220.99998,340.82454,83
"ACE NAT  MATIC ALOE VERA MANZ X 400G",722.50637,219.00004,154.39627,84
"MERENGADAS X 93 G",922.6222,216,196.7322,85
"RHODESIA X 22 G",540.64,216,218.8,85
"YOGUR MANFREY YOFREY ENT.FRUTI",364.50818,214,95.08818,87
"MANFREY DULCE DE LECHE X 400G",1426.32386,211.00001,402.97384,88
"DANONINO MAXI  X 2 FRUTILLA",1225.0019,211,296.60191,89
"LA ESPAÐOLA POLENTA X 1KG",556.89327,208.99999,147.2533,90
"COMBO SEDAL 350 ML 20%DTO.",2722.81299,208,2722.81299,91
"COCINERO GIRASOL X 900 ML",2243.49324,203,1315.78324,92
"TITA X 18 G",363.18674,200.99994,140.07682,93
"LA LOMA CREMOSO KG",6614.58263,197.48003,2368.76229,94
"ZORRO JABON P. LAV.MANO 400G.",787.26708,195.99999,238.65708,95
"POSTRE MANFREY VAINILLA",484.66,194,162.20001,96
"YOGURISIMO ENTERO C/CEREAL X 135 G",1179.89515,194,268.33515,96
"YOGURISIMO FORTIF X 1L VAINILLA",1499.92992,187,282.98992,98
"ACE MATIC NAT C/SUAV X 400",615.6487,186,152.5087,99
"DANONINO MAXI  X 2 VAINILLA",1085.02593,186,266.62593,99
"HIERBITAL HIERBAS SERRANAS X 500G",1906.26891,185.99998,679.629,101
"ILOLAY YOGUR ENT.FRUTILLA. BEBIBLE X 1 L",1147.35911,182.99998,257.97925,102
"ROSAURA MEDIALUNAS DE MANTECAS",262.80751,182,260.98751,103
"BAGLEY SALVADO X 642 G",1971.76892,180,421.96892,104
"KNORR CALDO DE VER X 12 EDI COLECC",1244.76527,179,387.35527,105
"FIDEO CHICAGO X 500 G",500.98936,176.99998,143.44935,106
"SONRISAS GALLETAS X 118 G",752.60015,175.00004,210.10004,107
"SUSSEX CLASICO X 3 ROLLO DE COCINA NUEVO",1576.12398,175.00002,677.82387,108
"ROSAURA PREPIZZA X 3 UNID",1150.69112,173.00001,194.00107,109
"ADES MANZANA X 200 CC",431.3708,173,113.0508,110
"SANCOR BEBE 1 X 250 CM3",1093.65,167,220.58,111
"LA CAMPAGNOLA PURE DE TOMATES X 520G",635.55502,166.00003,150.83493,112
"AMANDA YERBA X 500 G",1711.1518,164,499.1918,113
"PAPEL H.GOLF TEX. 4",817.62308,162,287.92307,114
"YOGURISIMO FORTIF X 1L FRUTILLA",1309.27987,162,269.27987,114
"LA TRANQUERA YERBA MATE X 50 SAQ",1591.6781,161.00002,560.47806,116
"LA JOYA DURAZNOS  820 G",1305.41408,160.99999,266.96421,117
"ROSAURA PAN DE MIGA X 10 FETAS",1684.07742,158.00005,58.25694,118
"PAMPERS BABYSAN G   X 9",1707.96,156,429.81,119
"CAMELLO VAJ X 750ML",861.92709,154,278.26709,120
"GILLETTE PRESTOBARBA ULTRAGRID X UNID",913.5785,150,381.1585,121
"SWIFT PICADILLO X 90",408.33926,150,149.53926,121
"PAMPERS BABYSAN X 8 (XG) DOBLE CAPA",1628.43965,149.00003,458.78942,123
"ELITE PAÐUELOS DESC X 6 X 10",1009.43895,149,271.88899,124
"KINDER CHOCOLATE MAXI X 21 G",523.46,149,171.28,124
"VILLA RICA MATE COCIDO X 25 G",544.69022,149,206.46022,124
"ROSAURA PREPIZZA X 2 UNID",756.44,148,127.44,127
"DOS ESTRELLAS SAL FINA X 500 G",266.75308,147,97.70307,128
"LA ESPAÐOLA POLENTA X 500 G",199.22773,147,55.16773,128
"M&K SAL FINA 500G.",184.64961,145,64.29961,130
"HELLMANNS MAYONESA X 250 CC",641.19392,144.00001,230.14391,131
"FANACOA MAY X 250 CM",315.25757,143,73.58757,132
"VELAS FAROLITO X 4 UNID",230.15411,143,87.72411,132
"TOPLINE SANDIA X 4 UNI",213,142,71,134
"PLATO VIDRIO HONDO/PLAYO",493.92023,141,163.98023,135
"JABON P.ALA M.ACC.REGULAR 400G",786.4746,140.00001,307.30456,136
"SIERRA PINTADA COPOS AZUC X 200G",685.68002,139.00001,131.07,137
"M&K DURAZNO LATA 820G.",1060.61,138.99999,254.41,138
"MILKAUT LECHE DESCREMADA L.V  X 1L",913.50638,137,263.44638,139
"TOPLINE FRUTA X 4 UNID",205.92,137,68.92,139
"CLIGHT NARANJA X 10 G",247.84436,136,84.64436,141
"M&K DEDALITOS X 500 G",298.24686,136,67.04686,141
"MILKAUT LECHE ENTERA L.V X 1 L NUEVO",909.4,136,273.96,141
"JUGO P.INCA MULTIFRUTAS 30G",157.7,130,39.4,144
"MANTECOL X 40 G",429.39,130,139.49,144
"LA ESPAÐOLA BURGOL FINO X 500 G",530.46,130,143.06,144
"CORONA DE TRIGO LEUDANTE X 1 KG",605.74965,129,175.63965,147
"COSQUIN JABON VERDE",153.72653,128,84.60653,148
"SANCOR QUESO RALLADO REGGIANITO X 40 G",667.89289,127.99999,169.97288,149
"JUGO P.INCA ANANA",152.37358,126.00065,37.71299,150
"COCA COLA X 2000 CC DESC",1597.00204,126,337.00204,151
"SER YOGUR CALCIO DURAZNO PACK  2 X 125 G",696.77,126,159.05,151
"VIÐAS DE BALBO BORGOÐA X 1250 ML",2140.23579,125,521.48579,153
"COLGATE DENTIFRICO HERBAL X 90 G",625.90333,124.99995,243.11347,154
"POLVORITA VAINILLA LIA X 80 G",185.95745,124,55.75745,155
"X5 LAVANDINA X 1000 CC",432.10579,124,125.18579,155
"FIDEO M&K CODOS X 500 G",299.88099,123.99999,89.08101,157
"ARCOR CHOCOLATE NEGRO X 25 G",247.8639,123.99998,99.74392,158
"SER YOGUR CALCIO FRUTILLA PACK  2 X 125",689.25552,123,165.84553,159
"MILKAUT QUESO RALLADO 40G",602.62008,121.00001,180.83003,160
"HARINA TIPO COMUN 000 X 1K",310.31,121,94.93,161
"KENIA JABON VARIEDAD X 3 UNIDADES",613.94879,121,172.29879,161
"PEPSI X 3000 CM3",1971.87617,120,471.87617,163
"SER JUGO NARANJA X 12.8G",189.21,119,58.15,164
"HIGIENOL EXPORT X 6",1131.323,118,460.483,165
"INCA JUGO P. LIGHT NARANJA 10G",143.49967,118,60.03967,165
"CHORISO COLORADO",642.57502,117,273.71502,167
"SAVORA MOSTAZA X 60 G",234.51,117,83.04,167
"GRANIX SALVADO 705 G",1103.49999,116,276.41999,169
"ILOLAY QUESO RALLADO  X 40 G",515.34,116,141.82,169
"DIVERSION  X 400 G",847.43789,115,226.43789,171
"ACTIMEL MULTIFRUTA 6 X 100 G",1587.48853,114,288.83853,172
"LANA DE ACERO ECO X 50 G",172.38643,114,52.68643,172
"ICB DE PATY SALCHICHAS X 6",463.05754,114,129.03754,172
"MAURI VAINILLA X 80 G",226.2,114,63.9,172
"YOGURISIMO CREMIX OFERTA X 4",994.27226,114,204.97226,172
"ULTRA GRASA X 500G",690.09247,114,215.85247,172
"LAYS 17G.",341.52,113,59.02,178
"LA BLANCA PICADILLO X 90 G",309.46899,112.99996,107.19905,179
"LA VIRGINIA CAFE X 125 G",786.98487,109.00001,247.43487,180
"FARGO SALVADO DOBLE DIET X 440 G",1620.01,109,424.45,181
"MAROLIO PURE DE TOMATES X 520 G",377.8603,109,114.0803,181
"ARCOR CHOCOLATE BLANCO X 25 G",226.20004,108.00002,88.82002,183
"CLIGHT MANZANA DELICIOSA X 7.5 G",195.95571,108,66.35571,184
"GOLFT PAPEL HIGIENICO BLANCO 4X30",602.30744,108,182.18744,184
"JUGO P.INCA NARA BAN.30",129.22083,107,31.85083,186
"COLGATE TRIPLE ACCION X 90G",639.40411,106,221.76411,187
"TRAVIATAS X 3 X 303 G",640.90409,106,170.89409,187
"INCA JUGO P. MANDARINA",128.39,106,35.11,187
"ALA MULTIACCION C/VIVE CLA 400",587.14524,105,169.07524,190
"LA VIRGINIA CAFE EN SAQ. X 20 UNDS",1488.49833,105,495.19833,190
"ADES DURAZNO X 1 L",680.06053,104.00002,185.02043,192
"LA ESPAÐOLA MAIZ BLANCO X 500 G",269.95902,104,70.27902,193
"SER JUGO MANZANA TENTACION X 9.5 G",164.82243,103,51.18243,194
"LA SERENISIMA MANTECA X 100 G",567.82811,102.99998,131.10811,195
"TOPLINE MENTA X 4 UNID",153.42,102,51.42,196
"TANG JUGO NARANJA X 35 G",161.69,101,48.07,197
"COPIM ACEITUNAS X 220 G",255.97185,99.99998,73.58188,198
"JUGO P.INCA NARANJA MANGO 30G",121.32081,99,31.23081,199
"JUGO P.TANG NAR/BAN/FRUT 35G.",159.89,99,48.59,199
"CAMPANITA CLASSIC 6 X 30",839.96308,98,199.04308,201
"ROCKLETS X 20 G",205.84,98,78.19,201
"ILOLAY YOGUR ENT.VAINILLA. BEBIBLE X 1 L",613.26,98,136.98,201
"PAMPERS BABYSAN XXG X 8",1064.76322,97,275.72322,204
"ACTIMEL FRUTILLA 6 X 100 G",1342.43944,96.99998,208.76964,205
"ESENCIAL LINEA BLANCA 4X30",678.18548,96,213.54548,206
"JABON P.ALA MULTIACC.SOL 400G",540.53489,96,142.13489,206
"ROCKLETS X 40 G",387.39,96,150.5,206
"CERROS TUCUMANOS YOGUR  FRUTILLAX 1 L",449.37908,95,116.87908,209
"CLIGHT NARANJA DULCE X 8 G",171.05,95,57.05,209
"FANACOA MAYONESA X 125 CM3",113.39,95,37.39,209
"KNORR SOPA CASERA DE VER C/ARROZ X 82G",406.26694,95,124.41694,209
"TANG JUGO NARANJA MANGO  X 25 G",149.9,94,33.18,213
"KNORR SOPA CAS POLLO Y MUNIC + FID",399.31922,93,139.96922,214
"LA ESPAÐOLA LENTEJAS X 500 G",394.39,93,104.23,214
"JUGO P.INCA NARJ/DUR.X30G",111.96082,92,28.24082,216
"SERRANAS SANDWICH X 336 G 3 UNID",516.18763,92,139.38763,216
"LA ESPAÐOLA POROTO ALUBIA X 500 G",422.67805,91.00001,111.458,218
"ILOLAY QUESO BARRA X 1 K",4524.25343,89.735,1429.29288,219
"YOGURISIMO CREMIX VAINILLA OFERTA X 4",791.15282,89,163.20282,220
"JUGO P.TANG DURAZNO 25G.",142.61,88.99999,42.95,221
"LECHE LA EDITA ENTERA L.V.1L",538.90349,88.99999,100.13349,221
"PLUSBELLE ACOND SEM DE LINO Y MIEL X 1 L",974.45819,88.00001,292.45808,223
"ACTIVIA CIRUELA X 2",565.76286,88,115.20286,224
"CRIA DE COSECHAS TTO X 1250",1142.46549,87.00001,368.16539,225
"LACER FOCO 75/100 W",526.58,87,274.28,226
"KINDER X 50 G (4 BARRAS)",607.88,86,202.82,227
"MANTECA LA SERENISIMA C/V",751.64262,86,168.56262,227
"YOGURISIMO FIRME ENT X 200 G FORT",342.42,86,68.51,227
"LA VIRGINIA TE X 50 SAQ",459.06834,86,134.84834,227
"ALA JABON PAN X 200 G",342.96945,85,105.81945,231
"LADYSOFT PROT S/ALAS X 20",313.83087,85,106.43087,231
"POLVORITA CHOCOLATE X 80 G",126.79744,85,34.14744,231
"PAPEL H.NATURAL GOLF 4R",431.95,85,146.66,231
"COCA COLA X 500 CC",424.15,85,70.55,231
"JUGO P.INCA PERA 30G",102.93616,85,25.58616,231
"EL CRAIKENSE QUESO CREMOSO X K",2950.92144,84.91,997.99144,237
"ALICANTE PIMENTON EXTRA X 25 G",214.86284,84,98.10284,238
"MAGGI CALDO VERDURA 12UN.",458.87989,84,133.71989,238
"LA SERENISIMA QUESO CREMON X K",3454.10643,83.94999,980.74517,240
"CAMPANITA CLASICO X 4 X 30",419.61019,83,138.24019,241
"SER YOGUR CALCIO VAINILLA PACK  2 X 125",462.6,83,108.19,241
"JUGO P.INCA POMELO ROSADO",100.4173,83,24.8873,241
"CLIGHT MANGO X 10 G",150.07,83,50.47,241
"CBSE YERBA X 500 G",1178.61912,83,372.57912,241
"CALDO MAGGI GALL.12 UN.",451.92,82,134.14,246
"ELITE PAÑUELOS DESCX 10 UNID",163.72824,82,93.14824,246
"ACTIVIA FRUTILLA PACK X 2",521.15006,81.00001,106.43001,248
"LAYS  X 38 G",409.02992,81,72.87992,249
"SER BARRA DURAZNO X 23 G",319.2,81,114.27,249
"BAGLEY SURTIDO X 400",588.34149,80,154.74149,251
"DOS ESTRELLAS SAL GRUESA X 1 KG",212.62,80,72.62,251
"INCA ANANA/BANANA 30G",96.51,80,23.71,251
"ILOLAY YOGUR C/CEREALES X 150 G",312.2347,80,85.8347,251
"BAGGIO PRONTO MULTIFR JUNIOR X 125 ML NU",121.10974,79.99998,35.50976,255
"HELLMANNS MAYONESA DOY PACK X 500CC",611.26562,79.00002,191.05553,256
"GALL.OREO C/CHOCO/RELLE 111G",401.45,79,110.35,257
"HIGIENOL SIN FIN 360 MT",1330.6209,79,426.8609,257
"ROSAURA PAN RALLADO X 400G",373.18833,79,-45.01167,257
"3D X 38 G",393.15716,78,69.45716,260
"CERROS TUCUMANOS YOGUR  VAINILLA X 1 L",368.37614,78,95.37614,260
"OBLITA FRUTILLA X 96 G",226.61,78,65.93,260
"OBLITA VAINILLA X 96 G",234.06413,78,66.36413,260
"LA TUCUMANITA RAV POLLO 500G.",570.12,77,162.92,264
"ZUCOA X 180 G",262.54133,77,76.20133,264
"PEPITOS GALLETAS X 118G",367.98804,77,96.94804,264
"ROSAURA PAN NEGRO",791.68655,76.355,790.923,267
"ACTIMEL MULTIFRUTA X 100 CC",195.74407,76,48.30407,268
"SERENITO POSTRE ROCLET X 120 G",528.00459,76,138.12459,268
"SANCOR MANTECA X200G VIT DYE",766.15822,76,187.03822,268
"ALICANTE CALDO P/SAB GALLINA X 10G",95.34,76,40.62,268
"ALA JABON EN PAN X 400G",581.24535,76,179.14536,268
"ADES FRUTAS TOPICALES X 1 L",496.63572,76,134.87572,268
"SER YOGUR C/CEREALES X 165 G NUEVO",443.86999,75,91.70999,274
"FATY GRASA X 500 G",682.6118,74.99999,203.36181,275
"LA MORENITA CAFE X 125 G",485.46676,74,145.80676,276
"ZUKO JUGO  PERA 1L",55.72,74,24.64,276
"FERRERO ROCHER BOMBONES X 3 UNID (37,5 G",520.93994,73.99999,167.21998,278
"LA SERENISIMA QUESO RALLADO X 40 G",386.09984,73.99996,108.59996,279
"BON O BON OBLEA NEGRA X 30 G",183.89999,73,68.37999,280
"ILOLAY YOGUR ENT.DURAZ. BEBIBLE X 1 L",456.64017,73,101.86017,280
"COLGATE DENTIFRICO SABOR ORIG X 70 G",351.56692,73,130.66692,280
"BORITA SUAVEIZANTE SOL X 900 CC",517.44727,73,221.43727,280
"FIDEO RIVOLI ENTREFINO X 500G",265.04079,73,78.16077,280
"MAURI SIN SAL X 400 G",592.1455,72.99999,174.21557,285
"ARCOR DULCE BATATA  X 1 KG",968.92469,72.78501,399.01807,286
"BIO PACK X 4 FRUTILLA",906.28,72,187,287
"LAYS X 50 G",432.6343,72,72.6343,287
"ROSAURA MAIZENITAS",74.8,72,74.08,287
"MANTECA MANFREY 100G.",343.80556,72,102.60556,287
"HIGIENOL EXPORT PLUS 6X30",722.21522,72,233.33522,287
"ALICANTE CALDO P/SAB VERD X 10",88.75,71,37.63,292
"TANG JUGO PERA X 35 G",113.21876,71,33.67876,292
"SER FLAN TENTACION 2 X 110 G",514.75,71,146.39,292
"BIO PACK X 4 MULTIF",897.15037,71,187.86037,292
"CLIGHT ANANA X 9 G",127.52945,71,42.32945,292
"ILOLAY QUESO CREMOSO X 1 K",2748.76274,70.935,817.20269,297
"CAFE LA VIRGINIA EQUILI.250G.",845.54599,70.00001,253.34596,298
"PLUSBELLE SH SEMILLAS X 1 LTS",782.75368,70.00001,240.25357,298
"YOGUR YOGURISIMO VAIN.1.3KG.",709.35026,70,101.05026,300
"ROSAURA PAN LACTAL 15 FETAS",391.93004,69.00001,391.93004,301
"VIENISSIMA X 6 X 225 G",715.89001,69.00001,231.16995,301
"LA TUCUMANITA PASCUALINA",551.82454,69,160.52454,303
"QUESO FINLANDIA LIGHT X 200 G",651.43609,69,150.49609,303
"SUAVIZANTE BORITA X 900 CC",482.53596,69,195.45596,303
"SER JUGO NAR DUR X 8.6G",112.06944,69,36.85944,303
"DANONINO MAXI BEBIBLE X 200 G",408.76,68.99999,98.94999,307
"VILLA RICA TE X 25 SAQ",180.96441,68.99999,65.7344,307
"ROSAURA PAN LACTAL SALVADO 375G",383.34992,68.99999,60.42999,307
"VIDACOL MULTF X 4 X 80 G",923.73985,68.99999,165.18986,307
"TANG JUGO NARANJA DULCE  X 25 G",110.03479,68.99995,34.13484,311
"BAGLEY SALVADO X 214 G",296.60966,68.99992,77.87991,312
"ARCOR DULCE BATATA C/CHOC X 1 KG",920.70495,68.94999,380.8265,313
"ACE MATIC NAT ALOE V X 800G",444.37093,68,123.41093,314
"MAURI FAUNA X 150 G",200.89,68,74.79,314
"PEPAS MAROLIO 200G.",197.32,68,54.52,314
"GRANIX SEMOLADAS X 450 G",638.34901,67.00001,165.99895,317
"BLANCAFLOR LEUDANTE X 1 K",334.37,67,83.73,318
"COCA COLA X 2000 CC RETORNABLE",647.05,67,172.02,318
"YOGUR MANFREY C/CEREAL V",257.64,67,63.34,318
"YOGUR YOGURISIMO FRUTI.1.3KG.",685.19957,66.99998,102.96977,321
"DANETTE CHOCOLATE X 2 X 100 G",465.07065,66,121.86065,322
"NATURA MAY X 125 CM3",163.45146,66,46.36146,322
"TOPLINE STRONG X 4 UNID",98.925,66,35.565,322
"HELLMANNS MAYONESA X 125 G",152.34878,66,41.46878,322
"M&K ARVEJAS 350G.",160.44,66,61.44,322
"CLIGHT PERA X 10 G",116.54217,65,38.54217,327
"ILOLAY YOGUR ENTERO FRUT.FIRME X 200 G",168.09063,65,48.49063,327
"SALSA PIZZA ARCOR 340G.",323.82001,65,77.47002,327
"EL TUCUMANO TOMATE TRITURADO X 950 G",404.93387,64,116.93387,330
"SI DIET X 200 ML",321.46,64,103.22,330
"SANCOR FLAN X 110 G",216.79338,64,47.83338,330
"EXTRALIMP BOLLITO SIMIL ORO X 30 G",419,64,211.64,330
"HUGGIES CLASSIC XXG X 8",739.67262,63,206.06262,334
"RIERA TOSTADAS LIGHT X 200 G",528.07,63,141.88,334
"JUGO P.INCA FRUTOS ROJOS 30G",75.7545,63,18.4245,334
"MANTECOL X 250 G",952.47333,63,274.59333,334
"PALADINI SALCHICHAS X 6 UNID",606.2202,62.00002,206.94006,338
"ACTIMEL FRUTILLA X 100 G",159.8,62,39.52,339
"SER JUGO PERA DULCE X 11.5 G",99.84015,62,31.41015,339
"PATYVIENA SCOOBY-DOO X 6",498.41296,62,140.05296,339
"NOBLEZA GAUCHA YERBA AZUL X 500 G",737.92002,62,237.79002,339
"LINA NORM C/ALAS X 8",180.4789,62,59.5789,339
"SER YOGUR COLCHON DURAZNO X 180 G",430.637,61.00003,104.98681,344
"ARCOR PURE DE TOMATE X 520 G",199.54495,61,45.82495,345
"ARCOR TOMATE PERITAS PELADOS X 400 G",336.88856,61,106.30856,345
"YOGUR YOGS FIRME FRUT.125G 2U",340.53948,61,70.30948,345
"ALICANTE CALDO P/SAB FINAS HIER X 10",76.02,60,31.62,348
"DONCELLA ALGODON X 75 GRS",290.51593,60,99.59593,348
"MINORA",120.64314,60,64.29314,348
"TORO CAJA TINTO X 1 L",548.00739,60,159.32739,348
"MANA LIVIANAS VAINILLA X 145G",232.67276,59.00001,68.06273,352
"ALICANTE CALDO P/SAB ALBAHACA Y AJO X 10",74.77,59,31.11,353
"BON O BON OBLEA BLANCO X 30 G",147.09875,59,54.05875,353
"ODOL NUEVO X 70G",220.47713,59,75.86713,353
"YOGS SANCOR 2 X 125 G VAINILLA",329.98,59,68.61,353
"SANCOR QUESO POR SALUT LIGHT X 200 G",586.98704,59,145.66703,353
"PATY HAMBURGUESAS CLASICAS X 334 G",1247.18,59,390.5,353
"JABON T.REXONA NATURAL 125G",235.16934,59,82.35934,353
"BORITA SUAV BEBE X 900 CC",413.49696,59,166.77696,353
"ADES NARANJA X 1 L",381.88,58,105.8,361
"SANCOR ENTERA X 1 L (LARGA VIDA)",452.77,58,94.91,361
"PERIQUITA YERBA MATE X 500 G",570.51313,58,179.79313,361
"MAGISTRAL LIMON X 300",559.2709,58,227.9009,361
"INCA JUGO P. LIGHT ANANA 10G",70.26214,58,28.50214,361
"FAVORITA FIDEO SPAGHETTI X 500 G",250.0585,58,72.0385,361
"GRANIX FIESTA SURTIDAS X 350 G",406.51981,57.99999,117.01981,367
"COCA COLA X 1500 CC ZERO",625.83671,57,127.08671,368
"FANTA X 1500 CC ZERO",620.1327,57,145.3227,368
"HIGIENOL MAX 6 ROLLOS X 80 METROS",1101.28292,57,356.29292,368
"MICHEL TORINO SELECCION X 700 ML",416.60754,57,132.74754,368
"SAVORA MOSTAZA X 250 G",271.42886,57,94.75886,368
"PLEGARIA ARVEJAS SECAS X 350G",135.71837,57,35.96837,368
"MOGUL FRUTALES X 50 G",114,57,33.06,368
"LANZER FOCO",345.43,57,180.13,368
"COLGATE 70+20",346.46412,57,137.84412,368
"INALPA ARVEJAS X 350 G",143.96106,56.99999,43.53106,377
"GATORADE MANZANA X 473 ML",524.50025,56.00003,143.70007,378
"CALIPSO PROTECTORES ANATOMICOS X 20",198.37351,56,66.77351,379
"SERENITO COMUN VAINILLA X 130 G",275.88,56,72.03998,379
"VIDACOL FRUTILLA X 4 X 80 G",749.36985,56,139.02985,379
"JABON T.REXONA ACQUA 125G",223.82531,56,78.78531,379
